"from","to","target","source"
"Akshay Kumar","Aishwarya Rai Bachchan",2,1
"Akshay Kumar","Om Puri",3,1
"Akshay Kumar","Kiron Kher",4,1
"Akshay Kumar","Neha Dhupia",5,1
"Akshay Kumar","Rannvijay Singh",6,1
"Akshay Kumar","Aditya Roy Kapur",7,1
"Akshay Kumar","Sudeepa Singh",8,1
"Akshay Kumar","Randhir Kapoor",9,1
"Akshay Kumar","Rajpal Yadav",24,1
"Aishwarya Rai Bachchan","Om Puri",3,2
"Aishwarya Rai Bachchan","Kiron Kher",4,2
"Aishwarya Rai Bachchan","Neha Dhupia",5,2
"Aishwarya Rai Bachchan","Rannvijay Singh",6,2
"Aishwarya Rai Bachchan","Aditya Roy Kapur",7,2
"Aishwarya Rai Bachchan","Sudeepa Singh",8,2
"Aishwarya Rai Bachchan","Randhir Kapoor",9,2
"Aishwarya Rai Bachchan","Rajpal Yadav",24,2
"Om Puri","Kiron Kher",4,3
"Om Puri","Neha Dhupia",5,3
"Om Puri","Rannvijay Singh",6,3
"Om Puri","Aditya Roy Kapur",7,3
"Om Puri","Sudeepa Singh",8,3
"Om Puri","Randhir Kapoor",9,3
"Om Puri","Rajpal Yadav",24,3
"Kiron Kher","Neha Dhupia",5,4
"Kiron Kher","Rannvijay Singh",6,4
"Kiron Kher","Aditya Roy Kapur",7,4
"Kiron Kher","Sudeepa Singh",8,4
"Kiron Kher","Randhir Kapoor",9,4
"Kiron Kher","Rajpal Yadav",24,4
"Neha Dhupia","Rannvijay Singh",6,5
"Neha Dhupia","Aditya Roy Kapur",7,5
"Neha Dhupia","Sudeepa Singh",8,5
"Neha Dhupia","Randhir Kapoor",9,5
"Neha Dhupia","Rajpal Yadav",24,5
"Rannvijay Singh","Aditya Roy Kapur",7,6
"Rannvijay Singh","Sudeepa Singh",8,6
"Rannvijay Singh","Randhir Kapoor",9,6
"Rannvijay Singh","Rajpal Yadav",24,6
"Aditya Roy Kapur","Sudeepa Singh",8,7
"Aditya Roy Kapur","Randhir Kapoor",9,7
"Aditya Roy Kapur","Rajpal Yadav",24,7
"Sudeepa Singh","Randhir Kapoor",9,8
"Sudeepa Singh","Rajpal Yadav",24,8
"Randhir Kapoor","Rajpal Yadav",24,9
"Akshay Kumar","Kareena Kapoor",10,1
"Akshay Kumar","Priyanka Chopra",11,1
"Akshay Kumar","Amrish Puri",12,1
"Akshay Kumar","Paresh Rawal",13,1
"Akshay Kumar","Annu Kapoor",154,1
"Kareena Kapoor","Priyanka Chopra",11,10
"Kareena Kapoor","Amrish Puri",12,10
"Kareena Kapoor","Paresh Rawal",13,10
"Kareena Kapoor","Annu Kapoor",154,10
"Priyanka Chopra","Amrish Puri",12,11
"Priyanka Chopra","Paresh Rawal",13,11
"Priyanka Chopra","Annu Kapoor",154,11
"Amrish Puri","Paresh Rawal",13,12
"Amrish Puri","Annu Kapoor",154,12
"Paresh Rawal","Annu Kapoor",154,13
"Anil Kapoor","Akshay Kumar",1,14
"Anil Kapoor","Kareena Kapoor",10,14
"Anil Kapoor","Sushmita Sen",15,14
"Anil Kapoor","Shamita Shetty",16,14
"Anil Kapoor","Manoj Bajpayee",17,14
"Anil Kapoor","Kabir Bedi",18,14
"Anil Kapoor","Nafisa Ali",19,14
"Anil Kapoor","Supriya Pathak",20,14
"Anil Kapoor","Raj Premi",21,14
"Anil Kapoor","Supriya Karnik",168,14
"Akshay Kumar","Kareena Kapoor",10,1
"Akshay Kumar","Sushmita Sen",15,1
"Akshay Kumar","Shamita Shetty",16,1
"Akshay Kumar","Manoj Bajpayee",17,1
"Akshay Kumar","Kabir Bedi",18,1
"Akshay Kumar","Nafisa Ali",19,1
"Akshay Kumar","Supriya Pathak",20,1
"Akshay Kumar","Raj Premi",21,1
"Akshay Kumar","Supriya Karnik",168,1
"Kareena Kapoor","Sushmita Sen",15,10
"Kareena Kapoor","Shamita Shetty",16,10
"Kareena Kapoor","Manoj Bajpayee",17,10
"Kareena Kapoor","Kabir Bedi",18,10
"Kareena Kapoor","Nafisa Ali",19,10
"Kareena Kapoor","Supriya Pathak",20,10
"Kareena Kapoor","Raj Premi",21,10
"Kareena Kapoor","Supriya Karnik",168,10
"Sushmita Sen","Shamita Shetty",16,15
"Sushmita Sen","Manoj Bajpayee",17,15
"Sushmita Sen","Kabir Bedi",18,15
"Sushmita Sen","Nafisa Ali",19,15
"Sushmita Sen","Supriya Pathak",20,15
"Sushmita Sen","Raj Premi",21,15
"Sushmita Sen","Supriya Karnik",168,15
"Shamita Shetty","Manoj Bajpayee",17,16
"Shamita Shetty","Kabir Bedi",18,16
"Shamita Shetty","Nafisa Ali",19,16
"Shamita Shetty","Supriya Pathak",20,16
"Shamita Shetty","Raj Premi",21,16
"Shamita Shetty","Supriya Karnik",168,16
"Manoj Bajpayee","Kabir Bedi",18,17
"Manoj Bajpayee","Nafisa Ali",19,17
"Manoj Bajpayee","Supriya Pathak",20,17
"Manoj Bajpayee","Raj Premi",21,17
"Manoj Bajpayee","Supriya Karnik",168,17
"Kabir Bedi","Nafisa Ali",19,18
"Kabir Bedi","Supriya Pathak",20,18
"Kabir Bedi","Raj Premi",21,18
"Kabir Bedi","Supriya Karnik",168,18
"Nafisa Ali","Supriya Pathak",20,19
"Nafisa Ali","Raj Premi",21,19
"Nafisa Ali","Supriya Karnik",168,19
"Supriya Pathak","Raj Premi",21,20
"Supriya Pathak","Supriya Karnik",168,20
"Raj Premi","Supriya Karnik",168,21
"Akshay Kumar","Govinda",22,1
"Akshay Kumar","Lara Dutta",23,1
"Akshay Kumar","Paresh Rawal",13,1
"Akshay Kumar","Rajpal Yadav",24,1
"Akshay Kumar","Jackie Shroff",25,1
"Akshay Kumar","Arbaaz Khan",26,1
"Akshay Kumar","Tanushree Dutta",27,1
"Akshay Kumar","Asrani",28,1
"Akshay Kumar","Shakti Kapoor",169,1
"Govinda","Lara Dutta",23,22
"Govinda","Paresh Rawal",13,22
"Govinda","Rajpal Yadav",24,22
"Govinda","Jackie Shroff",25,22
"Govinda","Arbaaz Khan",26,22
"Govinda","Tanushree Dutta",27,22
"Govinda","Asrani",28,22
"Govinda","Shakti Kapoor",169,22
"Lara Dutta","Paresh Rawal",13,23
"Lara Dutta","Rajpal Yadav",24,23
"Lara Dutta","Jackie Shroff",25,23
"Lara Dutta","Arbaaz Khan",26,23
"Lara Dutta","Tanushree Dutta",27,23
"Lara Dutta","Asrani",28,23
"Lara Dutta","Shakti Kapoor",169,23
"Paresh Rawal","Rajpal Yadav",24,13
"Paresh Rawal","Jackie Shroff",25,13
"Paresh Rawal","Arbaaz Khan",26,13
"Paresh Rawal","Tanushree Dutta",27,13
"Paresh Rawal","Asrani",28,13
"Paresh Rawal","Shakti Kapoor",169,13
"Rajpal Yadav","Jackie Shroff",25,24
"Rajpal Yadav","Arbaaz Khan",26,24
"Rajpal Yadav","Tanushree Dutta",27,24
"Rajpal Yadav","Asrani",28,24
"Rajpal Yadav","Shakti Kapoor",169,24
"Jackie Shroff","Arbaaz Khan",26,25
"Jackie Shroff","Tanushree Dutta",27,25
"Jackie Shroff","Asrani",28,25
"Jackie Shroff","Shakti Kapoor",169,25
"Arbaaz Khan","Tanushree Dutta",27,26
"Arbaaz Khan","Asrani",28,26
"Arbaaz Khan","Shakti Kapoor",169,26
"Tanushree Dutta","Asrani",28,27
"Tanushree Dutta","Shakti Kapoor",169,27
"Asrani","Shakti Kapoor",169,28
"Akshay Kumar","Vidya Balan",29,1
"Akshay Kumar","Ameesha Patel",30,1
"Akshay Kumar","Shiney Ahuja",31,1
"Akshay Kumar","Paresh Rawal",13,1
"Akshay Kumar","Rajpal Yadav",24,1
"Akshay Kumar","Manoj Joshi",32,1
"Akshay Kumar","Asrani",28,1
"Akshay Kumar","Vikram Gokhale",33,1
"Akshay Kumar","Rasika Joshi",170,1
"Vidya Balan","Ameesha Patel",30,29
"Vidya Balan","Shiney Ahuja",31,29
"Vidya Balan","Paresh Rawal",13,29
"Vidya Balan","Rajpal Yadav",24,29
"Vidya Balan","Manoj Joshi",32,29
"Vidya Balan","Asrani",28,29
"Vidya Balan","Vikram Gokhale",33,29
"Vidya Balan","Rasika Joshi",170,29
"Ameesha Patel","Shiney Ahuja",31,30
"Ameesha Patel","Paresh Rawal",13,30
"Ameesha Patel","Rajpal Yadav",24,30
"Ameesha Patel","Manoj Joshi",32,30
"Ameesha Patel","Asrani",28,30
"Ameesha Patel","Vikram Gokhale",33,30
"Ameesha Patel","Rasika Joshi",170,30
"Shiney Ahuja","Paresh Rawal",13,31
"Shiney Ahuja","Rajpal Yadav",24,31
"Shiney Ahuja","Manoj Joshi",32,31
"Shiney Ahuja","Asrani",28,31
"Shiney Ahuja","Vikram Gokhale",33,31
"Shiney Ahuja","Rasika Joshi",170,31
"Paresh Rawal","Rajpal Yadav",24,13
"Paresh Rawal","Manoj Joshi",32,13
"Paresh Rawal","Asrani",28,13
"Paresh Rawal","Vikram Gokhale",33,13
"Paresh Rawal","Rasika Joshi",170,13
"Rajpal Yadav","Manoj Joshi",32,24
"Rajpal Yadav","Asrani",28,24
"Rajpal Yadav","Vikram Gokhale",33,24
"Rajpal Yadav","Rasika Joshi",170,24
"Manoj Joshi","Asrani",28,32
"Manoj Joshi","Vikram Gokhale",33,32
"Manoj Joshi","Rasika Joshi",170,32
"Asrani","Vikram Gokhale",33,28
"Asrani","Rasika Joshi",170,28
"Vikram Gokhale","Rasika Joshi",170,33
"Akshay Kumar","Ronit Roy",34,1
"Akshay Kumar","Shiv Pandit",35,1
"Akshay Kumar","Mithun Chakraborty",36,1
"Akshay Kumar","Johny Lever",37,1
"Akshay Kumar","Aditi Rao Hydari",38,1
"Akshay Kumar","Danny Denzongpa",39,1
"Akshay Kumar","Govind Namdeo",40,1
"Akshay Kumar","Parikshat Sahni",41,1
"Akshay Kumar","Aakash Dabhade",171,1
"Ronit Roy","Shiv Pandit",35,34
"Ronit Roy","Mithun Chakraborty",36,34
"Ronit Roy","Johny Lever",37,34
"Ronit Roy","Aditi Rao Hydari",38,34
"Ronit Roy","Danny Denzongpa",39,34
"Ronit Roy","Govind Namdeo",40,34
"Ronit Roy","Parikshat Sahni",41,34
"Ronit Roy","Aakash Dabhade",171,34
"Shiv Pandit","Mithun Chakraborty",36,35
"Shiv Pandit","Johny Lever",37,35
"Shiv Pandit","Aditi Rao Hydari",38,35
"Shiv Pandit","Danny Denzongpa",39,35
"Shiv Pandit","Govind Namdeo",40,35
"Shiv Pandit","Parikshat Sahni",41,35
"Shiv Pandit","Aakash Dabhade",171,35
"Mithun Chakraborty","Johny Lever",37,36
"Mithun Chakraborty","Aditi Rao Hydari",38,36
"Mithun Chakraborty","Danny Denzongpa",39,36
"Mithun Chakraborty","Govind Namdeo",40,36
"Mithun Chakraborty","Parikshat Sahni",41,36
"Mithun Chakraborty","Aakash Dabhade",171,36
"Johny Lever","Aditi Rao Hydari",38,37
"Johny Lever","Danny Denzongpa",39,37
"Johny Lever","Govind Namdeo",40,37
"Johny Lever","Parikshat Sahni",41,37
"Johny Lever","Aakash Dabhade",171,37
"Aditi Rao Hydari","Danny Denzongpa",39,38
"Aditi Rao Hydari","Govind Namdeo",40,38
"Aditi Rao Hydari","Parikshat Sahni",41,38
"Aditi Rao Hydari","Aakash Dabhade",171,38
"Danny Denzongpa","Govind Namdeo",40,39
"Danny Denzongpa","Parikshat Sahni",41,39
"Danny Denzongpa","Aakash Dabhade",171,39
"Govind Namdeo","Parikshat Sahni",41,40
"Govind Namdeo","Aakash Dabhade",171,40
"Parikshat Sahni","Aakash Dabhade",171,41
"Akshay Kumar","Sidharth Malhotra",42,1
"Akshay Kumar","Jackie Shroff",25,1
"Akshay Kumar","Jacqueline Fernandez",43,1
"Akshay Kumar","Shefali Shah",44,1
"Akshay Kumar","Kulbhushan Kharbanda",45,1
"Akshay Kumar","Rajendranath Zutshi",46,1
