"from","to","target","source"
"Amitabh Bachchan","Saif Ali Khan",2,1
"Amitabh Bachchan","Manoj Bajpayee",3,1
"Amitabh Bachchan","Deepika Padukone",4,1
"Amitabh Bachchan","Prateik",5,1
"Amitabh Bachchan","Tanvi Azmi",6,1
"Amitabh Bachchan","Saurabh Shukla",7,1
"Amitabh Bachchan","Darshan Jariwala",8,1
"Amitabh Bachchan","Yashpal Sharma",9,1
"Amitabh Bachchan","Mukesh Tiwari",158,1
"Saif Ali Khan","Manoj Bajpayee",3,2
"Saif Ali Khan","Deepika Padukone",4,2
"Saif Ali Khan","Prateik",5,2
"Saif Ali Khan","Tanvi Azmi",6,2
"Saif Ali Khan","Saurabh Shukla",7,2
"Saif Ali Khan","Darshan Jariwala",8,2
"Saif Ali Khan","Yashpal Sharma",9,2
"Saif Ali Khan","Mukesh Tiwari",158,2
"Manoj Bajpayee","Deepika Padukone",4,3
"Manoj Bajpayee","Prateik",5,3
"Manoj Bajpayee","Tanvi Azmi",6,3
"Manoj Bajpayee","Saurabh Shukla",7,3
"Manoj Bajpayee","Darshan Jariwala",8,3
"Manoj Bajpayee","Yashpal Sharma",9,3
"Manoj Bajpayee","Mukesh Tiwari",158,3
"Deepika Padukone","Prateik",5,4
"Deepika Padukone","Tanvi Azmi",6,4
"Deepika Padukone","Saurabh Shukla",7,4
"Deepika Padukone","Darshan Jariwala",8,4
"Deepika Padukone","Yashpal Sharma",9,4
"Deepika Padukone","Mukesh Tiwari",158,4
"Prateik","Tanvi Azmi",6,5
"Prateik","Saurabh Shukla",7,5
"Prateik","Darshan Jariwala",8,5
"Prateik","Yashpal Sharma",9,5
"Prateik","Mukesh Tiwari",158,5
"Tanvi Azmi","Saurabh Shukla",7,6
"Tanvi Azmi","Darshan Jariwala",8,6
"Tanvi Azmi","Yashpal Sharma",9,6
"Tanvi Azmi","Mukesh Tiwari",158,6
"Saurabh Shukla","Darshan Jariwala",8,7
"Saurabh Shukla","Yashpal Sharma",9,7
"Saurabh Shukla","Mukesh Tiwari",158,7
"Darshan Jariwala","Yashpal Sharma",9,8
"Darshan Jariwala","Mukesh Tiwari",158,8
"Yashpal Sharma","Mukesh Tiwari",158,9
"Amitabh Bachchan","Mithun Chakraborty",10,1
"Amitabh Bachchan","Danny Denzongpa",11,1
"Amitabh Bachchan","Madhavi",12,1
"Amitabh Bachchan","Neelam",13,1
"Amitabh Bachchan","Alok Nath",14,1
"Amitabh Bachchan","Rohini Hattangadi",15,1
"Amitabh Bachchan","Tinnu Anand",16,1
"Amitabh Bachchan","Vikram Gokhale",17,1
"Amitabh Bachchan","Archana Puran Singh",159,1
"Mithun Chakraborty","Danny Denzongpa",11,10
