"from","to","target","source"
"Gerard Butler","Gretchen Mol",2,1
"Gerard Butler","Alison Brie",3,1
"Gerard Butler","Willem Dafoe",4,1
"Gerard Butler","Alfred Molina",5,1
"Gerard Butler","Maxwell Jenkins",6,1
"Gerard Butler","Anupam Kher",7,1
"Gerard Butler","Dustin Milligan",247,1
"Gretchen Mol","Alison Brie",3,2
"Gretchen Mol","Willem Dafoe",4,2
"Gretchen Mol","Alfred Molina",5,2
"Gretchen Mol","Maxwell Jenkins",6,2
"Gretchen Mol","Anupam Kher",7,2
"Gretchen Mol","Dustin Milligan",247,2
"Alison Brie","Willem Dafoe",4,3
"Alison Brie","Alfred Molina",5,3
"Alison Brie","Maxwell Jenkins",6,3
"Alison Brie","Anupam Kher",7,3
"Alison Brie","Dustin Milligan",247,3
"Willem Dafoe","Alfred Molina",5,4
"Willem Dafoe","Maxwell Jenkins",6,4
"Willem Dafoe","Anupam Kher",7,4
"Willem Dafoe","Dustin Milligan",247,4
"Alfred Molina","Maxwell Jenkins",6,5
"Alfred Molina","Anupam Kher",7,5
"Alfred Molina","Dustin Milligan",247,5
"Maxwell Jenkins","Anupam Kher",7,6
"Maxwell Jenkins","Dustin Milligan",247,6
"Anupam Kher","Dustin Milligan",247,7
"Anupam Kher","Naseeruddin Shah",8,7
"Anupam Kher","Jimmy Shergill",9,7
"Anupam Kher","Deepal Shaw",10,7
"Anupam Kher","Aamir Bashir",11,7
"Anupam Kher","Kali Prasad Mukherjee",12,7
"Anupam Kher","Vijay Bhatia",13,7
"Anupam Kher","Chetan Pandit",248,7
"Naseeruddin Shah","Jimmy Shergill",9,8
"Naseeruddin Shah","Deepal Shaw",10,8
"Naseeruddin Shah","Aamir Bashir",11,8
"Naseeruddin Shah","Kali Prasad Mukherjee",12,8
"Naseeruddin Shah","Vijay Bhatia",13,8
"Naseeruddin Shah","Chetan Pandit",248,8
"Jimmy Shergill","Deepal Shaw",10,9
"Jimmy Shergill","Aamir Bashir",11,9
"Jimmy Shergill","Kali Prasad Mukherjee",12,9
"Jimmy Shergill","Vijay Bhatia",13,9
"Jimmy Shergill","Chetan Pandit",248,9
"Deepal Shaw","Aamir Bashir",11,10
"Deepal Shaw","Kali Prasad Mukherjee",12,10
"Deepal Shaw","Vijay Bhatia",13,10
"Deepal Shaw","Chetan Pandit",248,10
"Aamir Bashir","Kali Prasad Mukherjee",12,11
"Aamir Bashir","Vijay Bhatia",13,11
"Aamir Bashir","Chetan Pandit",248,11
"Kali Prasad Mukherjee","Vijay Bhatia",13,12
"Kali Prasad Mukherjee","Chetan Pandit",248,12
"Vijay Bhatia","Chetan Pandit",248,13
"Sidharth Malhotra","Manoj Bajpayee",15,14
"Sidharth Malhotra","Rakul Preet Singh",16,14
"Sidharth Malhotra","Pooja Chopra",17,14
"Sidharth Malhotra","Adil Hussain",18,14
"Sidharth Malhotra","Kumud Mishra",19,14
"Sidharth Malhotra","Naseeruddin Shah",8,14
"Sidharth Malhotra","Anupam Kher",7,14
"Sidharth Malhotra","Vikram Gokhale",20,14
"Sidharth Malhotra","Juhi Babbar",249,14
"Manoj Bajpayee","Rakul Preet Singh",16,15
"Manoj Bajpayee","Pooja Chopra",17,15
"Manoj Bajpayee","Adil Hussain",18,15
"Manoj Bajpayee","Kumud Mishra",19,15
"Manoj Bajpayee","Naseeruddin Shah",8,15
"Manoj Bajpayee","Anupam Kher",7,15
"Manoj Bajpayee","Vikram Gokhale",20,15
"Manoj Bajpayee","Juhi Babbar",249,15
"Rakul Preet Singh","Pooja Chopra",17,16
"Rakul Preet Singh","Adil Hussain",18,16
"Rakul Preet Singh","Kumud Mishra",19,16
"Rakul Preet Singh","Naseeruddin Shah",8,16
"Rakul Preet Singh","Anupam Kher",7,16
"Rakul Preet Singh","Vikram Gokhale",20,16
"Rakul Preet Singh","Juhi Babbar",249,16
"Pooja Chopra","Adil Hussain",18,17
"Pooja Chopra","Kumud Mishra",19,17
"Pooja Chopra","Naseeruddin Shah",8,17
"Pooja Chopra","Anupam Kher",7,17
"Pooja Chopra","Vikram Gokhale",20,17
"Pooja Chopra","Juhi Babbar",249,17
"Adil Hussain","Kumud Mishra",19,18
"Adil Hussain","Naseeruddin Shah",8,18
"Adil Hussain","Anupam Kher",7,18
"Adil Hussain","Vikram Gokhale",20,18
"Adil Hussain","Juhi Babbar",249,18
"Kumud Mishra","Naseeruddin Shah",8,19
"Kumud Mishra","Anupam Kher",7,19
"Kumud Mishra","Vikram Gokhale",20,19
"Kumud Mishra","Juhi Babbar",249,19
"Naseeruddin Shah","Anupam Kher",7,8
"Naseeruddin Shah","Vikram Gokhale",20,8
"Naseeruddin Shah","Juhi Babbar",249,8
"Anupam Kher","Vikram Gokhale",20,7
"Anupam Kher","Juhi Babbar",249,7
"Vikram Gokhale","Juhi Babbar",249,20
"Mahesh Bhatt","Mithun Chakraborty",22,21
"Mahesh Bhatt","G.K. Desai",23,21
"Mahesh Bhatt","Celina Jaitly",24,21
"Mahesh Bhatt","Karan Johar",25,21
"Mahesh Bhatt","Ekta Kapoor",26,21
"Mahesh Bhatt","Tusshar Kapoor",27,21
"Mahesh Bhatt","Anupam Kher",7,21
"Mahesh Bhatt","Ashok Pandit",28,21
"Mahesh Bhatt","Lalit Parashar",29,21
"Mahesh Bhatt","Raima Sen",30,21
"Mahesh Bhatt","Rajpal Yadav",105,21
"Mithun Chakraborty","G.K. Desai",23,22
"Mithun Chakraborty","Celina Jaitly",24,22
"Mithun Chakraborty","Karan Johar",25,22
"Mithun Chakraborty","Ekta Kapoor",26,22
"Mithun Chakraborty","Tusshar Kapoor",27,22
"Mithun Chakraborty","Anupam Kher",7,22
"Mithun Chakraborty","Ashok Pandit",28,22
"Mithun Chakraborty","Lalit Parashar",29,22
"Mithun Chakraborty","Raima Sen",30,22
"Mithun Chakraborty","Rajpal Yadav",105,22
"G.K. Desai","Celina Jaitly",24,23
"G.K. Desai","Karan Johar",25,23
"G.K. Desai","Ekta Kapoor",26,23
"G.K. Desai","Tusshar Kapoor",27,23
"G.K. Desai","Anupam Kher",7,23
"G.K. Desai","Ashok Pandit",28,23
"G.K. Desai","Lalit Parashar",29,23
"G.K. Desai","Raima Sen",30,23
"G.K. Desai","Rajpal Yadav",105,23
"Celina Jaitly","Karan Johar",25,24
"Celina Jaitly","Ekta Kapoor",26,24
"Celina Jaitly","Tusshar Kapoor",27,24
"Celina Jaitly","Anupam Kher",7,24
"Celina Jaitly","Ashok Pandit",28,24
"Celina Jaitly","Lalit Parashar",29,24
"Celina Jaitly","Raima Sen",30,24
"Celina Jaitly","Rajpal Yadav",105,24
"Karan Johar","Ekta Kapoor",26,25
"Karan Johar","Tusshar Kapoor",27,25
"Karan Johar","Anupam Kher",7,25
"Karan Johar","Ashok Pandit",28,25
"Karan Johar","Lalit Parashar",29,25
"Karan Johar","Raima Sen",30,25
"Karan Johar","Rajpal Yadav",105,25
"Ekta Kapoor","Tusshar Kapoor",27,26
"Ekta Kapoor","Anupam Kher",7,26
"Ekta Kapoor","Ashok Pandit",28,26
"Ekta Kapoor","Lalit Parashar",29,26
"Ekta Kapoor","Raima Sen",30,26
"Ekta Kapoor","Rajpal Yadav",105,26
"Tusshar Kapoor","Anupam Kher",7,27
"Tusshar Kapoor","Ashok Pandit",28,27
"Tusshar Kapoor","Lalit Parashar",29,27
"Tusshar Kapoor","Raima Sen",30,27
"Tusshar Kapoor","Rajpal Yadav",105,27
"Anupam Kher","Ashok Pandit",28,7
"Anupam Kher","Lalit Parashar",29,7
"Anupam Kher","Raima Sen",30,7
"Anupam Kher","Rajpal Yadav",105,7
"Ashok Pandit","Lalit Parashar",29,28
"Ashok Pandit","Raima Sen",30,28
"Ashok Pandit","Rajpal Yadav",105,28
"Lalit Parashar","Raima Sen",30,29
"Lalit Parashar","Rajpal Yadav",105,29
"Raima Sen","Rajpal Yadav",105,30
"Naseeruddin Shah","Shah Rukh Khan",31,8
"Naseeruddin Shah","Pooja Bhatt",32,8
"Naseeruddin Shah","Anupam Kher",7,8
"Naseeruddin Shah","Ramya Krishnan",33,8
"Naseeruddin Shah","Avtar Gill",34,8
"Naseeruddin Shah","Mushtaq Khan",250,8
"Shah Rukh Khan","Pooja Bhatt",32,31
"Shah Rukh Khan","Anupam Kher",7,31
"Shah Rukh Khan","Ramya Krishnan",33,31
"Shah Rukh Khan","Avtar Gill",34,31
"Shah Rukh Khan","Mushtaq Khan",250,31
"Pooja Bhatt","Anupam Kher",7,32
"Pooja Bhatt","Ramya Krishnan",33,32
"Pooja Bhatt","Avtar Gill",34,32
"Pooja Bhatt","Mushtaq Khan",250,32
"Anupam Kher","Ramya Krishnan",33,7
"Anupam Kher","Avtar Gill",34,7
"Anupam Kher","Mushtaq Khan",250,7
"Ramya Krishnan","Avtar Gill",34,33
"Ramya Krishnan","Mushtaq Khan",250,33
"Avtar Gill","Mushtaq Khan",250,34
"Rishi Kapoor","Ali Zafar",36,35
"Rishi Kapoor","Taapsee Pannu",37,35
"Rishi Kapoor","Siddharth",38,35
"Rishi Kapoor","Divyendu Sharma",39,35
"Rishi Kapoor","Anupam Kher",7,35
"Rishi Kapoor","Bharati Achrekar",40,35
"Rishi Kapoor","Lillete Dubey",41,35
"Rishi Kapoor","Ayaz Khan",44,35
"Ali Zafar","Taapsee Pannu",37,36
"Ali Zafar","Siddharth",38,36
"Ali Zafar","Divyendu Sharma",39,36
"Ali Zafar","Anupam Kher",7,36
"Ali Zafar","Bharati Achrekar",40,36
"Ali Zafar","Lillete Dubey",41,36
"Ali Zafar","Ayaz Khan",44,36
"Taapsee Pannu","Siddharth",38,37
"Taapsee Pannu","Divyendu Sharma",39,37
"Taapsee Pannu","Anupam Kher",7,37
"Taapsee Pannu","Bharati Achrekar",40,37
"Taapsee Pannu","Lillete Dubey",41,37
"Taapsee Pannu","Ayaz Khan",44,37
"Siddharth","Divyendu Sharma",39,38
"Siddharth","Anupam Kher",7,38
"Siddharth","Bharati Achrekar",40,38
"Siddharth","Lillete Dubey",41,38
"Siddharth","Ayaz Khan",44,38
"Divyendu Sharma","Anupam Kher",7,39
"Divyendu Sharma","Bharati Achrekar",40,39
"Divyendu Sharma","Lillete Dubey",41,39
"Divyendu Sharma","Ayaz Khan",44,39
"Anupam Kher","Bharati Achrekar",40,7
"Anupam Kher","Lillete Dubey",41,7
"Anupam Kher","Ayaz Khan",44,7
"Bharati Achrekar","Lillete Dubey",41,40
"Bharati Achrekar","Ayaz Khan",44,40
"Lillete Dubey","Ayaz Khan",44,41
"Ali Zafar","Siddharth",38,36
"Ali Zafar","Divyendu Sharma",39,36
"Ali Zafar","Tapsee Pannu",42,36
"Ali Zafar","Rishi Kapoor",35,36
"Ali Zafar","Anupam Kher",7,36
"Ali Zafar","Bharati Achrekar",40,36
"Ali Zafar","Varun Dhawan",43,36
"Ali Zafar","Lillete Dubey",41,36
"Ali Zafar","Ayaz Khan",44,36
"Ali Zafar","Ashish Verma",251,36
"Siddharth","Divyendu Sharma",39,38
"Siddharth","Tapsee Pannu",42,38
"Siddharth","Rishi Kapoor",35,38
"Siddharth","Anupam Kher",7,38
"Siddharth","Bharati Achrekar",40,38
"Siddharth","Varun Dhawan",43,38
"Siddharth","Lillete Dubey",41,38
"Siddharth","Ayaz Khan",44,38
"Siddharth","Ashish Verma",251,38
"Divyendu Sharma","Tapsee Pannu",42,39
"Divyendu Sharma","Rishi Kapoor",35,39
"Divyendu Sharma","Anupam Kher",7,39
"Divyendu Sharma","Bharati Achrekar",40,39
"Divyendu Sharma","Varun Dhawan",43,39
"Divyendu Sharma","Lillete Dubey",41,39
"Divyendu Sharma","Ayaz Khan",44,39
"Divyendu Sharma","Ashish Verma",251,39
"Tapsee Pannu","Rishi Kapoor",35,42
"Tapsee Pannu","Anupam Kher",7,42
"Tapsee Pannu","Bharati Achrekar",40,42
"Tapsee Pannu","Varun Dhawan",43,42
"Tapsee Pannu","Lillete Dubey",41,42
"Tapsee Pannu","Ayaz Khan",44,42
"Tapsee Pannu","Ashish Verma",251,42
"Rishi Kapoor","Anupam Kher",7,35
"Rishi Kapoor","Bharati Achrekar",40,35
"Rishi Kapoor","Varun Dhawan",43,35
"Rishi Kapoor","Lillete Dubey",41,35
"Rishi Kapoor","Ayaz Khan",44,35
"Rishi Kapoor","Ashish Verma",251,35
"Anupam Kher","Bharati Achrekar",40,7
