"from","to","target","source"
"Naseeruddin Shah","Jackie Shroff",2,1
"Naseeruddin Shah","Juhi Chawla",3,1
"Naseeruddin Shah","Nagesh Kukunoor",4,1
"Naseeruddin Shah","Gulshan Grover",5,1
"Naseeruddin Shah","Aditya Lakhia",6,1
"Naseeruddin Shah","Shri Vallabh Vyas",156,1
"Jackie Shroff","Juhi Chawla",3,2
"Jackie Shroff","Nagesh Kukunoor",4,2
"Jackie Shroff","Gulshan Grover",5,2
"Jackie Shroff","Aditya Lakhia",6,2
"Jackie Shroff","Shri Vallabh Vyas",156,2
"Juhi Chawla","Nagesh Kukunoor",4,3
"Juhi Chawla","Gulshan Grover",5,3
"Juhi Chawla","Aditya Lakhia",6,3
"Juhi Chawla","Shri Vallabh Vyas",156,3
"Nagesh Kukunoor","Gulshan Grover",5,4
"Nagesh Kukunoor","Aditya Lakhia",6,4
"Nagesh Kukunoor","Shri Vallabh Vyas",156,4
"Gulshan Grover","Aditya Lakhia",6,5
"Gulshan Grover","Shri Vallabh Vyas",156,5
"Aditya Lakhia","Shri Vallabh Vyas",156,6
"Priyanka Chopra","Neil Nitin Mukesh",8,7
"Priyanka Chopra","John Abraham",9,7
"Priyanka Chopra","Irrfan Khan",10,7
"Priyanka Chopra","Aleksandr Dyachenko",11,7
"Priyanka Chopra","Annu Kapoor",12,7
"Priyanka Chopra","Naseeruddin Shah",1,7
"Priyanka Chopra","Vivaan Shah",13,7
"Priyanka Chopra","Usha Uthup",14,7
"Priyanka Chopra","Konkona Sen Sharma",157,7
"Neil Nitin Mukesh","John Abraham",9,8
"Neil Nitin Mukesh","Irrfan Khan",10,8
"Neil Nitin Mukesh","Aleksandr Dyachenko",11,8
"Neil Nitin Mukesh","Annu Kapoor",12,8
"Neil Nitin Mukesh","Naseeruddin Shah",1,8
"Neil Nitin Mukesh","Vivaan Shah",13,8
"Neil Nitin Mukesh","Usha Uthup",14,8
"Neil Nitin Mukesh","Konkona Sen Sharma",157,8
"John Abraham","Irrfan Khan",10,9
"John Abraham","Aleksandr Dyachenko",11,9
"John Abraham","Annu Kapoor",12,9
"John Abraham","Naseeruddin Shah",1,9
"John Abraham","Vivaan Shah",13,9
"John Abraham","Usha Uthup",14,9
"John Abraham","Konkona Sen Sharma",157,9
"Irrfan Khan","Aleksandr Dyachenko",11,10
"Irrfan Khan","Annu Kapoor",12,10
"Irrfan Khan","Naseeruddin Shah",1,10
"Irrfan Khan","Vivaan Shah",13,10
"Irrfan Khan","Usha Uthup",14,10
"Irrfan Khan","Konkona Sen Sharma",157,10
"Aleksandr Dyachenko","Annu Kapoor",12,11
"Aleksandr Dyachenko","Naseeruddin Shah",1,11
"Aleksandr Dyachenko","Vivaan Shah",13,11
"Aleksandr Dyachenko","Usha Uthup",14,11
"Aleksandr Dyachenko","Konkona Sen Sharma",157,11
"Annu Kapoor","Naseeruddin Shah",1,12
"Annu Kapoor","Vivaan Shah",13,12
"Annu Kapoor","Usha Uthup",14,12
"Annu Kapoor","Konkona Sen Sharma",157,12
"Naseeruddin Shah","Vivaan Shah",13,1
"Naseeruddin Shah","Usha Uthup",14,1
"Naseeruddin Shah","Konkona Sen Sharma",157,1
"Vivaan Shah","Usha Uthup",14,13
"Vivaan Shah","Konkona Sen Sharma",157,13
"Usha Uthup","Konkona Sen Sharma",157,14
"Anupam Kher","Naseeruddin Shah",1,15
"Anupam Kher","Jimmy Shergill",16,15
"Anupam Kher","Deepal Shaw",17,15
"Anupam Kher","Aamir Bashir",18,15
"Anupam Kher","Kali Prasad Mukherjee",19,15
"Anupam Kher","Vijay Bhatia",20,15
"Anupam Kher","Chetan Pandit",158,15
"Naseeruddin Shah","Jimmy Shergill",16,1
"Naseeruddin Shah","Deepal Shaw",17,1
"Naseeruddin Shah","Aamir Bashir",18,1
"Naseeruddin Shah","Kali Prasad Mukherjee",19,1
"Naseeruddin Shah","Vijay Bhatia",20,1
"Naseeruddin Shah","Chetan Pandit",158,1
"Jimmy Shergill","Deepal Shaw",17,16
"Jimmy Shergill","Aamir Bashir",18,16
"Jimmy Shergill","Kali Prasad Mukherjee",19,16
"Jimmy Shergill","Vijay Bhatia",20,16
"Jimmy Shergill","Chetan Pandit",158,16
"Deepal Shaw","Aamir Bashir",18,17
"Deepal Shaw","Kali Prasad Mukherjee",19,17
"Deepal Shaw","Vijay Bhatia",20,17
"Deepal Shaw","Chetan Pandit",158,17
"Aamir Bashir","Kali Prasad Mukherjee",19,18
"Aamir Bashir","Vijay Bhatia",20,18
"Aamir Bashir","Chetan Pandit",158,18
"Kali Prasad Mukherjee","Vijay Bhatia",20,19
"Kali Prasad Mukherjee","Chetan Pandit",158,19
"Vijay Bhatia","Chetan Pandit",158,20
"Sidharth Malhotra","Manoj Bajpayee",22,21
"Sidharth Malhotra","Rakul Preet Singh",23,21
"Sidharth Malhotra","Pooja Chopra",24,21
"Sidharth Malhotra","Adil Hussain",25,21
"Sidharth Malhotra","Kumud Mishra",26,21
"Sidharth Malhotra","Naseeruddin Shah",1,21
"Sidharth Malhotra","Anupam Kher",15,21
"Sidharth Malhotra","Vikram Gokhale",27,21
"Sidharth Malhotra","Juhi Babbar",159,21
"Manoj Bajpayee","Rakul Preet Singh",23,22
"Manoj Bajpayee","Pooja Chopra",24,22
"Manoj Bajpayee","Adil Hussain",25,22
"Manoj Bajpayee","Kumud Mishra",26,22
"Manoj Bajpayee","Naseeruddin Shah",1,22
"Manoj Bajpayee","Anupam Kher",15,22
"Manoj Bajpayee","Vikram Gokhale",27,22
"Manoj Bajpayee","Juhi Babbar",159,22
"Rakul Preet Singh","Pooja Chopra",24,23
"Rakul Preet Singh","Adil Hussain",25,23
"Rakul Preet Singh","Kumud Mishra",26,23
"Rakul Preet Singh","Naseeruddin Shah",1,23
"Rakul Preet Singh","Anupam Kher",15,23
"Rakul Preet Singh","Vikram Gokhale",27,23
"Rakul Preet Singh","Juhi Babbar",159,23
"Pooja Chopra","Adil Hussain",25,24
"Pooja Chopra","Kumud Mishra",26,24
"Pooja Chopra","Naseeruddin Shah",1,24
"Pooja Chopra","Anupam Kher",15,24
"Pooja Chopra","Vikram Gokhale",27,24
"Pooja Chopra","Juhi Babbar",159,24
"Adil Hussain","Kumud Mishra",26,25
"Adil Hussain","Naseeruddin Shah",1,25
"Adil Hussain","Anupam Kher",15,25
"Adil Hussain","Vikram Gokhale",27,25
"Adil Hussain","Juhi Babbar",159,25
"Kumud Mishra","Naseeruddin Shah",1,26
"Kumud Mishra","Anupam Kher",15,26
"Kumud Mishra","Vikram Gokhale",27,26
"Kumud Mishra","Juhi Babbar",159,26
"Naseeruddin Shah","Anupam Kher",15,1
"Naseeruddin Shah","Vikram Gokhale",27,1
"Naseeruddin Shah","Juhi Babbar",159,1
"Anupam Kher","Vikram Gokhale",27,15
"Anupam Kher","Juhi Babbar",159,15
"Vikram Gokhale","Juhi Babbar",159,27
"Naseeruddin Shah","Arjun Mathur",28,1
"Naseeruddin Shah","Vijay Raaz",29,1
"Naseeruddin Shah","Tannishtha Chatterjee",30,1
"Naseeruddin Shah","Violante Placido",31,1
"Naseeruddin Shah","Benjamin Gilani",160,1
"Arjun Mathur","Vijay Raaz",29,28
"Arjun Mathur","Tannishtha Chatterjee",30,28
"Arjun Mathur","Violante Placido",31,28
"Arjun Mathur","Benjamin Gilani",160,28
"Vijay Raaz","Tannishtha Chatterjee",30,29
"Vijay Raaz","Violante Placido",31,29
"Vijay Raaz","Benjamin Gilani",160,29
"Tannishtha Chatterjee","Violante Placido",31,30
"Tannishtha Chatterjee","Benjamin Gilani",160,30
"Violante Placido","Benjamin Gilani",160,31
"Farooq Shaikh","Smita Patil",33,32
"Farooq Shaikh","Naseeruddin Shah",1,32
"Farooq Shaikh","Bharat Kapoor",34,32
"Farooq Shaikh","Supriya Pathak",35,32
"Farooq Shaikh","Rita Rani Kaul",36,32
"Farooq Shaikh","Malika",161,32
"Smita Patil","Naseeruddin Shah",1,33
"Smita Patil","Bharat Kapoor",34,33
"Smita Patil","Supriya Pathak",35,33
"Smita Patil","Rita Rani Kaul",36,33
"Smita Patil","Malika",161,33
"Naseeruddin Shah","Bharat Kapoor",34,1
"Naseeruddin Shah","Supriya Pathak",35,1
"Naseeruddin Shah","Rita Rani Kaul",36,1
"Naseeruddin Shah","Malika",161,1
"Bharat Kapoor","Supriya Pathak",35,34
"Bharat Kapoor","Rita Rani Kaul",36,34
"Bharat Kapoor","Malika",161,34
"Supriya Pathak","Rita Rani Kaul",36,35
"Supriya Pathak","Malika",161,35
"Rita Rani Kaul","Malika",161,36
"Naseeruddin Shah","Shah Rukh Khan",37,1
"Naseeruddin Shah","Pooja Bhatt",38,1
"Naseeruddin Shah","Anupam Kher",15,1
"Naseeruddin Shah","Ramya Krishnan",39,1
"Naseeruddin Shah","Avtar Gill",40,1
"Naseeruddin Shah","Mushtaq Khan",162,1
"Shah Rukh Khan","Pooja Bhatt",38,37
"Shah Rukh Khan","Anupam Kher",15,37
"Shah Rukh Khan","Ramya Krishnan",39,37
"Shah Rukh Khan","Avtar Gill",40,37
"Shah Rukh Khan","Mushtaq Khan",162,37
"Pooja Bhatt","Anupam Kher",15,38
"Pooja Bhatt","Ramya Krishnan",39,38
"Pooja Bhatt","Avtar Gill",40,38
"Pooja Bhatt","Mushtaq Khan",162,38
"Anupam Kher","Ramya Krishnan",39,15
"Anupam Kher","Avtar Gill",40,15
"Anupam Kher","Mushtaq Khan",162,15
"Ramya Krishnan","Avtar Gill",40,39
"Ramya Krishnan","Mushtaq Khan",162,39
"Avtar Gill","Mushtaq Khan",162,40
"Shah Rukh Khan","Naseeruddin Shah",1,37
"Shah Rukh Khan","Urmila Matondkar",41,37
"Shah Rukh Khan","Malvika Tiwari",42,37
"Shah Rukh Khan","Shammi Kapoor",43,37
"Shah Rukh Khan","Deven Verma",44,37
"Shah Rukh Khan","Tinnu Anand",45,37
"Shah Rukh Khan","Anjana Mumtaz",46,37
"Shah Rukh Khan","Anjan Srivastav",47,37
"Shah Rukh Khan","Rakesh Bedi",163,37
"Naseeruddin Shah","Urmila Matondkar",41,1
"Naseeruddin Shah","Malvika Tiwari",42,1
"Naseeruddin Shah","Shammi Kapoor",43,1
"Naseeruddin Shah","Deven Verma",44,1
"Naseeruddin Shah","Tinnu Anand",45,1
"Naseeruddin Shah","Anjana Mumtaz",46,1
"Naseeruddin Shah","Anjan Srivastav",47,1
"Naseeruddin Shah","Rakesh Bedi",163,1
"Urmila Matondkar","Malvika Tiwari",42,41
"Urmila Matondkar","Shammi Kapoor",43,41
"Urmila Matondkar","Deven Verma",44,41
"Urmila Matondkar","Tinnu Anand",45,41
"Urmila Matondkar","Anjana Mumtaz",46,41
"Urmila Matondkar","Anjan Srivastav",47,41
"Urmila Matondkar","Rakesh Bedi",163,41
"Malvika Tiwari","Shammi Kapoor",43,42
"Malvika Tiwari","Deven Verma",44,42
"Malvika Tiwari","Tinnu Anand",45,42
"Malvika Tiwari","Anjana Mumtaz",46,42
"Malvika Tiwari","Anjan Srivastav",47,42
"Malvika Tiwari","Rakesh Bedi",163,42
"Shammi Kapoor","Deven Verma",44,43
"Shammi Kapoor","Tinnu Anand",45,43
"Shammi Kapoor","Anjana Mumtaz",46,43
"Shammi Kapoor","Anjan Srivastav",47,43
"Shammi Kapoor","Rakesh Bedi",163,43
"Deven Verma","Tinnu Anand",45,44
"Deven Verma","Anjana Mumtaz",46,44
"Deven Verma","Anjan Srivastav",47,44
"Deven Verma","Rakesh Bedi",163,44
"Tinnu Anand","Anjana Mumtaz",46,45
"Tinnu Anand","Anjan Srivastav",47,45
"Tinnu Anand","Rakesh Bedi",163,45
"Anjana Mumtaz","Anjan Srivastav",47,46
"Anjana Mumtaz","Rakesh Bedi",163,46
"Anjan Srivastav","Rakesh Bedi",163,47
"Naseeruddin Shah","Madhuri Dixit",48,1
"Naseeruddin Shah","Arshad Warsi",49,1
"Naseeruddin Shah","Huma Qureshi",50,1
"Naseeruddin Shah","Vijay Raaz",29,1
"Naseeruddin Shah","Manoj Pahwa",51,1
"Naseeruddin Shah","Salman Shahid",76,1
"Madhuri Dixit","Arshad Warsi",49,48
"Madhuri Dixit","Huma Qureshi",50,48
"Madhuri Dixit","Vijay Raaz",29,48
"Madhuri Dixit","Manoj Pahwa",51,48
"Madhuri Dixit","Salman Shahid",76,48
"Arshad Warsi","Huma Qureshi",50,49
"Arshad Warsi","Vijay Raaz",29,49
"Arshad Warsi","Manoj Pahwa",51,49
"Arshad Warsi","Salman Shahid",76,49
"Huma Qureshi","Vijay Raaz",29,50
"Huma Qureshi","Manoj Pahwa",51,50
"Huma Qureshi","Salman Shahid",76,50
"Vijay Raaz","Manoj Pahwa",51,29
"Vijay Raaz","Salman Shahid",76,29
"Manoj Pahwa","Salman Shahid",76,51
"Paresh Rawal","Annu Kapoor",12,52
"Paresh Rawal","Alka Badola Kaushal",53,52
"Paresh Rawal","Auritra Ghosh",54,52
"Paresh Rawal","Naseeruddin Shah",1,52
"Paresh Rawal","Manoj Raghubir Sharma",55,52
"Paresh Rawal","Rushita Pandya",56,52
"Paresh Rawal","Murli Sharma",164,52
"Annu Kapoor","Alka Badola Kaushal",53,12
"Annu Kapoor","Auritra Ghosh",54,12
"Annu Kapoor","Naseeruddin Shah",1,12
"Annu Kapoor","Manoj Raghubir Sharma",55,12
"Annu Kapoor","Rushita Pandya",56,12
"Annu Kapoor","Murli Sharma",164,12
"Alka Badola Kaushal","Auritra Ghosh",54,53
"Alka Badola Kaushal","Naseeruddin Shah",1,53
"Alka Badola Kaushal","Manoj Raghubir Sharma",55,53
"Alka Badola Kaushal","Rushita Pandya",56,53
"Alka Badola Kaushal","Murli Sharma",164,53
"Auritra Ghosh","Naseeruddin Shah",1,54
"Auritra Ghosh","Manoj Raghubir Sharma",55,54
"Auritra Ghosh","Rushita Pandya",56,54
"Auritra Ghosh","Murli Sharma",164,54
"Naseeruddin Shah","Manoj Raghubir Sharma",55,1
"Naseeruddin Shah","Rushita Pandya",56,1
"Naseeruddin Shah","Murli Sharma",164,1
"Manoj Raghubir Sharma","Rushita Pandya",56,55
"Manoj Raghubir Sharma","Murli Sharma",164,55
"Rushita Pandya","Murli Sharma",164,56
