"from","to","target","source"
"Akshay Kumar","Aishwarya Rai Bachchan",2,1
"Akshay Kumar","Om Puri",3,1
"Akshay Kumar","Kiron Kher",4,1
"Akshay Kumar","Neha Dhupia",5,1
"Akshay Kumar","Rannvijay Singh",6,1
"Akshay Kumar","Aditya Roy Kapur",7,1
"Akshay Kumar","Sudeepa Singh",8,1
"Akshay Kumar","Randhir Kapoor",9,1
"Akshay Kumar","Rajpal Yadav",19,1
"Aishwarya Rai Bachchan","Om Puri",3,2
"Aishwarya Rai Bachchan","Kiron Kher",4,2
"Aishwarya Rai Bachchan","Neha Dhupia",5,2
"Aishwarya Rai Bachchan","Rannvijay Singh",6,2
"Aishwarya Rai Bachchan","Aditya Roy Kapur",7,2
"Aishwarya Rai Bachchan","Sudeepa Singh",8,2
"Aishwarya Rai Bachchan","Randhir Kapoor",9,2
"Aishwarya Rai Bachchan","Rajpal Yadav",19,2
"Om Puri","Kiron Kher",4,3
"Om Puri","Neha Dhupia",5,3
"Om Puri","Rannvijay Singh",6,3
"Om Puri","Aditya Roy Kapur",7,3
"Om Puri","Sudeepa Singh",8,3
"Om Puri","Randhir Kapoor",9,3
"Om Puri","Rajpal Yadav",19,3
"Kiron Kher","Neha Dhupia",5,4
"Kiron Kher","Rannvijay Singh",6,4
"Kiron Kher","Aditya Roy Kapur",7,4
"Kiron Kher","Sudeepa Singh",8,4
"Kiron Kher","Randhir Kapoor",9,4
"Kiron Kher","Rajpal Yadav",19,4
"Neha Dhupia","Rannvijay Singh",6,5
"Neha Dhupia","Aditya Roy Kapur",7,5
"Neha Dhupia","Sudeepa Singh",8,5
"Neha Dhupia","Randhir Kapoor",9,5
"Neha Dhupia","Rajpal Yadav",19,5
"Rannvijay Singh","Aditya Roy Kapur",7,6
"Rannvijay Singh","Sudeepa Singh",8,6
"Rannvijay Singh","Randhir Kapoor",9,6
"Rannvijay Singh","Rajpal Yadav",19,6
"Aditya Roy Kapur","Sudeepa Singh",8,7
"Aditya Roy Kapur","Randhir Kapoor",9,7
"Aditya Roy Kapur","Rajpal Yadav",19,7
"Sudeepa Singh","Randhir Kapoor",9,8
"Sudeepa Singh","Rajpal Yadav",19,8
"Randhir Kapoor","Rajpal Yadav",19,9
"Gippy Grewal","Gurpreet Guggi",11,10
"Gippy Grewal","Ragini Khanna",12,10
"Gippy Grewal","Om Puri",3,10
"Gippy Grewal","B.N. Sharma",13,10
"Gippy Grewal","Avtar Gill",14,10
"Gippy Grewal","Karamjit Anmol",15,10
"Gippy Grewal","Rana Jung Bahadur",164,10
"Gurpreet Guggi","Ragini Khanna",12,11
"Gurpreet Guggi","Om Puri",3,11
"Gurpreet Guggi","B.N. Sharma",13,11
"Gurpreet Guggi","Avtar Gill",14,11
"Gurpreet Guggi","Karamjit Anmol",15,11
"Gurpreet Guggi","Rana Jung Bahadur",164,11
"Ragini Khanna","Om Puri",3,12
"Ragini Khanna","B.N. Sharma",13,12
"Ragini Khanna","Avtar Gill",14,12
"Ragini Khanna","Karamjit Anmol",15,12
"Ragini Khanna","Rana Jung Bahadur",164,12
"Om Puri","B.N. Sharma",13,3
"Om Puri","Avtar Gill",14,3
"Om Puri","Karamjit Anmol",15,3
"Om Puri","Rana Jung Bahadur",164,3
"B.N. Sharma","Avtar Gill",14,13
"B.N. Sharma","Karamjit Anmol",15,13
"B.N. Sharma","Rana Jung Bahadur",164,13
"Avtar Gill","Karamjit Anmol",15,14
"Avtar Gill","Rana Jung Bahadur",164,14
"Karamjit Anmol","Rana Jung Bahadur",164,15
"Irrfan Khan","Shah Rukh Khan",17,16
"Irrfan Khan","Lara Dutta",18,16
"Irrfan Khan","Rajpal Yadav",19,16
"Irrfan Khan","Om Puri",3,16
"Irrfan Khan","Asrani",20,16
"Irrfan Khan","Manoj Joshi",165,16
"Shah Rukh Khan","Lara Dutta",18,17
"Shah Rukh Khan","Rajpal Yadav",19,17
"Shah Rukh Khan","Om Puri",3,17
"Shah Rukh Khan","Asrani",20,17
"Shah Rukh Khan","Manoj Joshi",165,17
"Lara Dutta","Rajpal Yadav",19,18
"Lara Dutta","Om Puri",3,18
"Lara Dutta","Asrani",20,18
"Lara Dutta","Manoj Joshi",165,18
"Rajpal Yadav","Om Puri",3,19
"Rajpal Yadav","Asrani",20,19
"Rajpal Yadav","Manoj Joshi",165,19
"Om Puri","Asrani",20,3
"Om Puri","Manoj Joshi",165,3
"Asrani","Manoj Joshi",165,20
"Om Puri","Pat Cusick",21,3
"Om Puri","Navin Nischol",22,3
"Om Puri","Perizaad Zorabian",166,3
"Pat Cusick","Navin Nischol",22,21
"Pat Cusick","Perizaad Zorabian",166,21
"Navin Nischol","Perizaad Zorabian",166,22
"Shahid Kapoor","Kareena Kapoor",24,23
"Shahid Kapoor","Om Puri",3,23
"Shahid Kapoor","Neha Dhupia",5,23
"Shahid Kapoor","Sunil Shetty",25,23
"Shahid Kapoor","Paresh Rawal",26,23
"Shahid Kapoor","Rajpal Yadav",19,23
"Shahid Kapoor","Shakti Kapoor",167,23
"Kareena Kapoor","Om Puri",3,24
"Kareena Kapoor","Neha Dhupia",5,24
"Kareena Kapoor","Sunil Shetty",25,24
"Kareena Kapoor","Paresh Rawal",26,24
"Kareena Kapoor","Rajpal Yadav",19,24
"Kareena Kapoor","Shakti Kapoor",167,24
"Om Puri","Neha Dhupia",5,3
"Om Puri","Sunil Shetty",25,3
"Om Puri","Paresh Rawal",26,3
"Om Puri","Rajpal Yadav",19,3
"Om Puri","Shakti Kapoor",167,3
"Neha Dhupia","Sunil Shetty",25,5
"Neha Dhupia","Paresh Rawal",26,5
"Neha Dhupia","Rajpal Yadav",19,5
"Neha Dhupia","Shakti Kapoor",167,5
"Sunil Shetty","Paresh Rawal",26,25
"Sunil Shetty","Rajpal Yadav",19,25
"Sunil Shetty","Shakti Kapoor",167,25
"Paresh Rawal","Rajpal Yadav",19,26
"Paresh Rawal","Shakti Kapoor",167,26
"Rajpal Yadav","Shakti Kapoor",167,19
"Abhishek Bachchan","Sonam Kapoor",28,27
"Abhishek Bachchan","Waheeda Rehman",29,27
"Abhishek Bachchan","Om Puri",3,27
"Abhishek Bachchan","Prem Chopra",30,27
"Abhishek Bachchan","Atul Kulkarni",31,27
"Abhishek Bachchan","Pavan Malhotra",32,27
"Abhishek Bachchan","Divya Dutta",33,27
"Abhishek Bachchan","Deepak Dobriyal",34,27
"Abhishek Bachchan","Sheeba Chaddha",168,27
"Sonam Kapoor","Waheeda Rehman",29,28
"Sonam Kapoor","Om Puri",3,28
"Sonam Kapoor","Prem Chopra",30,28
"Sonam Kapoor","Atul Kulkarni",31,28
"Sonam Kapoor","Pavan Malhotra",32,28
"Sonam Kapoor","Divya Dutta",33,28
"Sonam Kapoor","Deepak Dobriyal",34,28
"Sonam Kapoor","Sheeba Chaddha",168,28
"Waheeda Rehman","Om Puri",3,29
"Waheeda Rehman","Prem Chopra",30,29
"Waheeda Rehman","Atul Kulkarni",31,29
"Waheeda Rehman","Pavan Malhotra",32,29
"Waheeda Rehman","Divya Dutta",33,29
"Waheeda Rehman","Deepak Dobriyal",34,29
"Waheeda Rehman","Sheeba Chaddha",168,29
"Om Puri","Prem Chopra",30,3
"Om Puri","Atul Kulkarni",31,3
"Om Puri","Pavan Malhotra",32,3
"Om Puri","Divya Dutta",33,3
"Om Puri","Deepak Dobriyal",34,3
"Om Puri","Sheeba Chaddha",168,3
"Prem Chopra","Atul Kulkarni",31,30
"Prem Chopra","Pavan Malhotra",32,30
"Prem Chopra","Divya Dutta",33,30
"Prem Chopra","Deepak Dobriyal",34,30
"Prem Chopra","Sheeba Chaddha",168,30
"Atul Kulkarni","Pavan Malhotra",32,31
"Atul Kulkarni","Divya Dutta",33,31
"Atul Kulkarni","Deepak Dobriyal",34,31
"Atul Kulkarni","Sheeba Chaddha",168,31
"Pavan Malhotra","Divya Dutta",33,32
"Pavan Malhotra","Deepak Dobriyal",34,32
"Pavan Malhotra","Sheeba Chaddha",168,32
"Divya Dutta","Deepak Dobriyal",34,33
"Divya Dutta","Sheeba Chaddha",168,33
"Deepak Dobriyal","Sheeba Chaddha",168,34
"Mithun Chakraborty","Kim",36,35
"Mithun Chakraborty","Kalpana Iyer",37,35
"Mithun Chakraborty","Om Puri",3,35
"Mithun Chakraborty","Gita Siddharth",38,35
"Mithun Chakraborty","Yusuf Khan",39,35
"Mithun Chakraborty","Bob Christo",40,35
"Mithun Chakraborty","Om Shivpuri",41,35
"Mithun Chakraborty","Karan Razdan",169,35
"Kim","Kalpana Iyer",37,36
"Kim","Om Puri",3,36
"Kim","Gita Siddharth",38,36
"Kim","Yusuf Khan",39,36
"Kim","Bob Christo",40,36
"Kim","Om Shivpuri",41,36
"Kim","Karan Razdan",169,36
"Kalpana Iyer","Om Puri",3,37
"Kalpana Iyer","Gita Siddharth",38,37
"Kalpana Iyer","Yusuf Khan",39,37
"Kalpana Iyer","Bob Christo",40,37
"Kalpana Iyer","Om Shivpuri",41,37
"Kalpana Iyer","Karan Razdan",169,37
"Om Puri","Gita Siddharth",38,3
"Om Puri","Yusuf Khan",39,3
"Om Puri","Bob Christo",40,3
"Om Puri","Om Shivpuri",41,3
"Om Puri","Karan Razdan",169,3
"Gita Siddharth","Yusuf Khan",39,38
"Gita Siddharth","Bob Christo",40,38
"Gita Siddharth","Om Shivpuri",41,38
"Gita Siddharth","Karan Razdan",169,38
"Yusuf Khan","Bob Christo",40,39
"Yusuf Khan","Om Shivpuri",41,39
"Yusuf Khan","Karan Razdan",169,39
"Bob Christo","Om Shivpuri",41,40
"Bob Christo","Karan Razdan",169,40
"Om Shivpuri","Karan Razdan",169,41
"Shah Rukh Khan","Priyanka Chopra",42,17
"Shah Rukh Khan","Arjun Rampal",43,17
"Shah Rukh Khan","Isha Koppikar",44,17
"Shah Rukh Khan","Kareena Kapoor",24,17
"Shah Rukh Khan","Boman Irani",45,17
"Shah Rukh Khan","Om Puri",3,17
"Shah Rukh Khan","Pavan Malhotra",32,17
"Priyanka Chopra","Arjun Rampal",43,42
"Priyanka Chopra","Isha Koppikar",44,42
"Priyanka Chopra","Kareena Kapoor",24,42
"Priyanka Chopra","Boman Irani",45,42
"Priyanka Chopra","Om Puri",3,42
"Priyanka Chopra","Pavan Malhotra",32,42
"Arjun Rampal","Isha Koppikar",44,43
"Arjun Rampal","Kareena Kapoor",24,43
"Arjun Rampal","Boman Irani",45,43
"Arjun Rampal","Om Puri",3,43
"Arjun Rampal","Pavan Malhotra",32,43
"Isha Koppikar","Kareena Kapoor",24,44
"Isha Koppikar","Boman Irani",45,44
"Isha Koppikar","Om Puri",3,44
"Isha Koppikar","Pavan Malhotra",32,44
"Kareena Kapoor","Boman Irani",45,24
"Kareena Kapoor","Om Puri",3,24
"Kareena Kapoor","Pavan Malhotra",32,24
"Boman Irani","Om Puri",3,45
"Boman Irani","Pavan Malhotra",32,45
"Om Puri","Pavan Malhotra",32,3
"Shah Rukh Khan","Priyanka Chopra",42,17
"Shah Rukh Khan","Boman Irani",45,17
"Shah Rukh Khan","Lara Dutta",18,17
"Shah Rukh Khan","Kunal Kapoor",46,17
"Shah Rukh Khan","Om Puri",3,17
"Shah Rukh Khan","Alyy Khan",47,17
"Shah Rukh Khan","Nawab Shah",170,17
"Priyanka Chopra","Boman Irani",45,42
"Priyanka Chopra","Lara Dutta",18,42
"Priyanka Chopra","Kunal Kapoor",46,42
"Priyanka Chopra","Om Puri",3,42
"Priyanka Chopra","Alyy Khan",47,42
"Priyanka Chopra","Nawab Shah",170,42
"Boman Irani","Lara Dutta",18,45
"Boman Irani","Kunal Kapoor",46,45
"Boman Irani","Om Puri",3,45
"Boman Irani","Alyy Khan",47,45
"Boman Irani","Nawab Shah",170,45
"Lara Dutta","Kunal Kapoor",46,18
"Lara Dutta","Om Puri",3,18
"Lara Dutta","Alyy Khan",47,18
"Lara Dutta","Nawab Shah",170,18
