"from","to","target","source"
"Akshay Kumar","Kareena Kapoor",2,1
"Akshay Kumar","Priyanka Chopra",3,1
"Akshay Kumar","Amrish Puri",4,1
"Akshay Kumar","Paresh Rawal",5,1
"Akshay Kumar","Annu Kapoor",34,1
"Kareena Kapoor","Priyanka Chopra",3,2
"Kareena Kapoor","Amrish Puri",4,2
"Kareena Kapoor","Paresh Rawal",5,2
"Kareena Kapoor","Annu Kapoor",34,2
"Priyanka Chopra","Amrish Puri",4,3
"Priyanka Chopra","Paresh Rawal",5,3
"Priyanka Chopra","Annu Kapoor",34,3
"Amrish Puri","Paresh Rawal",5,4
"Amrish Puri","Annu Kapoor",34,4
"Paresh Rawal","Annu Kapoor",34,5
"Aamir Khan","Salman Khan",7,6
"Aamir Khan","Raveena Tandon",8,6
"Aamir Khan","Karisma Kapoor",9,6
"Aamir Khan","Paresh Rawal",5,6
"Aamir Khan","Mehmood",10,6
"Aamir Khan","Deven Verma",11,6
"Aamir Khan","Jagdeep",12,6
"Aamir Khan","Shakti Kapoor",73,6
"Salman Khan","Raveena Tandon",8,7
"Salman Khan","Karisma Kapoor",9,7
"Salman Khan","Paresh Rawal",5,7
"Salman Khan","Mehmood",10,7
"Salman Khan","Deven Verma",11,7
"Salman Khan","Jagdeep",12,7
"Salman Khan","Shakti Kapoor",73,7
"Raveena Tandon","Karisma Kapoor",9,8
"Raveena Tandon","Paresh Rawal",5,8
"Raveena Tandon","Mehmood",10,8
"Raveena Tandon","Deven Verma",11,8
"Raveena Tandon","Jagdeep",12,8
"Raveena Tandon","Shakti Kapoor",73,8
"Karisma Kapoor","Paresh Rawal",5,9
"Karisma Kapoor","Mehmood",10,9
"Karisma Kapoor","Deven Verma",11,9
"Karisma Kapoor","Jagdeep",12,9
"Karisma Kapoor","Shakti Kapoor",73,9
"Paresh Rawal","Mehmood",10,5
"Paresh Rawal","Deven Verma",11,5
"Paresh Rawal","Jagdeep",12,5
"Paresh Rawal","Shakti Kapoor",73,5
"Mehmood","Deven Verma",11,10
"Mehmood","Jagdeep",12,10
"Mehmood","Shakti Kapoor",73,10
"Deven Verma","Jagdeep",12,11
"Deven Verma","Shakti Kapoor",73,11
"Jagdeep","Shakti Kapoor",73,12
"Akshay Kumar","Govinda",13,1
"Akshay Kumar","Lara Dutta",14,1
"Akshay Kumar","Paresh Rawal",5,1
"Akshay Kumar","Rajpal Yadav",15,1
"Akshay Kumar","Jackie Shroff",16,1
"Akshay Kumar","Arbaaz Khan",17,1
"Akshay Kumar","Tanushree Dutta",18,1
"Akshay Kumar","Asrani",19,1
"Akshay Kumar","Shakti Kapoor",73,1
"Govinda","Lara Dutta",14,13
"Govinda","Paresh Rawal",5,13
"Govinda","Rajpal Yadav",15,13
"Govinda","Jackie Shroff",16,13
"Govinda","Arbaaz Khan",17,13
"Govinda","Tanushree Dutta",18,13
"Govinda","Asrani",19,13
"Govinda","Shakti Kapoor",73,13
"Lara Dutta","Paresh Rawal",5,14
"Lara Dutta","Rajpal Yadav",15,14
"Lara Dutta","Jackie Shroff",16,14
"Lara Dutta","Arbaaz Khan",17,14
"Lara Dutta","Tanushree Dutta",18,14
"Lara Dutta","Asrani",19,14
"Lara Dutta","Shakti Kapoor",73,14
"Paresh Rawal","Rajpal Yadav",15,5
"Paresh Rawal","Jackie Shroff",16,5
"Paresh Rawal","Arbaaz Khan",17,5
"Paresh Rawal","Tanushree Dutta",18,5
"Paresh Rawal","Asrani",19,5
"Paresh Rawal","Shakti Kapoor",73,5
"Rajpal Yadav","Jackie Shroff",16,15
"Rajpal Yadav","Arbaaz Khan",17,15
"Rajpal Yadav","Tanushree Dutta",18,15
"Rajpal Yadav","Asrani",19,15
"Rajpal Yadav","Shakti Kapoor",73,15
"Jackie Shroff","Arbaaz Khan",17,16
"Jackie Shroff","Tanushree Dutta",18,16
"Jackie Shroff","Asrani",19,16
"Jackie Shroff","Shakti Kapoor",73,16
"Arbaaz Khan","Tanushree Dutta",18,17
"Arbaaz Khan","Asrani",19,17
"Arbaaz Khan","Shakti Kapoor",73,17
"Tanushree Dutta","Asrani",19,18
"Tanushree Dutta","Shakti Kapoor",73,18
"Asrani","Shakti Kapoor",73,19
"Akshay Kumar","Vidya Balan",20,1
"Akshay Kumar","Ameesha Patel",21,1
"Akshay Kumar","Shiney Ahuja",22,1
"Akshay Kumar","Paresh Rawal",5,1
"Akshay Kumar","Rajpal Yadav",15,1
"Akshay Kumar","Manoj Joshi",23,1
"Akshay Kumar","Asrani",19,1
"Akshay Kumar","Vikram Gokhale",24,1
"Akshay Kumar","Rasika Joshi",159,1
"Vidya Balan","Ameesha Patel",21,20
"Vidya Balan","Shiney Ahuja",22,20
"Vidya Balan","Paresh Rawal",5,20
"Vidya Balan","Rajpal Yadav",15,20
"Vidya Balan","Manoj Joshi",23,20
"Vidya Balan","Asrani",19,20
"Vidya Balan","Vikram Gokhale",24,20
"Vidya Balan","Rasika Joshi",159,20
"Ameesha Patel","Shiney Ahuja",22,21
"Ameesha Patel","Paresh Rawal",5,21
"Ameesha Patel","Rajpal Yadav",15,21
"Ameesha Patel","Manoj Joshi",23,21
"Ameesha Patel","Asrani",19,21
"Ameesha Patel","Vikram Gokhale",24,21
"Ameesha Patel","Rasika Joshi",159,21
"Shiney Ahuja","Paresh Rawal",5,22
"Shiney Ahuja","Rajpal Yadav",15,22
"Shiney Ahuja","Manoj Joshi",23,22
"Shiney Ahuja","Asrani",19,22
"Shiney Ahuja","Vikram Gokhale",24,22
"Shiney Ahuja","Rasika Joshi",159,22
"Paresh Rawal","Rajpal Yadav",15,5
"Paresh Rawal","Manoj Joshi",23,5
"Paresh Rawal","Asrani",19,5
"Paresh Rawal","Vikram Gokhale",24,5
"Paresh Rawal","Rasika Joshi",159,5
"Rajpal Yadav","Manoj Joshi",23,15
"Rajpal Yadav","Asrani",19,15
"Rajpal Yadav","Vikram Gokhale",24,15
"Rajpal Yadav","Rasika Joshi",159,15
"Manoj Joshi","Asrani",19,23
"Manoj Joshi","Vikram Gokhale",24,23
"Manoj Joshi","Rasika Joshi",159,23
"Asrani","Vikram Gokhale",24,19
"Asrani","Rasika Joshi",159,19
"Vikram Gokhale","Rasika Joshi",159,24
"Shahid Kapoor","Kareena Kapoor",2,25
"Shahid Kapoor","Om Puri",26,25
"Shahid Kapoor","Neha Dhupia",27,25
"Shahid Kapoor","Sunil Shetty",28,25
"Shahid Kapoor","Paresh Rawal",5,25
"Shahid Kapoor","Rajpal Yadav",15,25
"Shahid Kapoor","Shakti Kapoor",73,25
"Kareena Kapoor","Om Puri",26,2
"Kareena Kapoor","Neha Dhupia",27,2
"Kareena Kapoor","Sunil Shetty",28,2
"Kareena Kapoor","Paresh Rawal",5,2
"Kareena Kapoor","Rajpal Yadav",15,2
"Kareena Kapoor","Shakti Kapoor",73,2
"Om Puri","Neha Dhupia",27,26
"Om Puri","Sunil Shetty",28,26
"Om Puri","Paresh Rawal",5,26
"Om Puri","Rajpal Yadav",15,26
"Om Puri","Shakti Kapoor",73,26
"Neha Dhupia","Sunil Shetty",28,27
"Neha Dhupia","Paresh Rawal",5,27
"Neha Dhupia","Rajpal Yadav",15,27
"Neha Dhupia","Shakti Kapoor",73,27
"Sunil Shetty","Paresh Rawal",5,28
"Sunil Shetty","Rajpal Yadav",15,28
"Sunil Shetty","Shakti Kapoor",73,28
"Paresh Rawal","Rajpal Yadav",15,5
"Paresh Rawal","Shakti Kapoor",73,5
"Rajpal Yadav","Shakti Kapoor",73,15
"Randeep Hooda","Nandana Sen",30,29
"Randeep Hooda","Jim Boeven",31,29
"Randeep Hooda","Paresh Rawal",5,29
"Randeep Hooda","Tom Alter",32,29
"Randeep Hooda","Vikram Gokhale",24,29
"Randeep Hooda","Vipin Sharma",33,29
"Randeep Hooda","Gaurav Dwivedi",160,29
"Nandana Sen","Jim Boeven",31,30
"Nandana Sen","Paresh Rawal",5,30
"Nandana Sen","Tom Alter",32,30
"Nandana Sen","Vikram Gokhale",24,30
"Nandana Sen","Vipin Sharma",33,30
"Nandana Sen","Gaurav Dwivedi",160,30
"Jim Boeven","Paresh Rawal",5,31
"Jim Boeven","Tom Alter",32,31
"Jim Boeven","Vikram Gokhale",24,31
"Jim Boeven","Vipin Sharma",33,31
"Jim Boeven","Gaurav Dwivedi",160,31
"Paresh Rawal","Tom Alter",32,5
"Paresh Rawal","Vikram Gokhale",24,5
"Paresh Rawal","Vipin Sharma",33,5
"Paresh Rawal","Gaurav Dwivedi",160,5
"Tom Alter","Vikram Gokhale",24,32
"Tom Alter","Vipin Sharma",33,32
"Tom Alter","Gaurav Dwivedi",160,32
"Vikram Gokhale","Vipin Sharma",33,24
"Vikram Gokhale","Gaurav Dwivedi",160,24
"Vipin Sharma","Gaurav Dwivedi",160,33
"Paresh Rawal","Annu Kapoor",34,5
"Paresh Rawal","Alka Badola Kaushal",35,5
"Paresh Rawal","Auritra Ghosh",36,5
"Paresh Rawal","Naseeruddin Shah",37,5
"Paresh Rawal","Manoj Raghubir Sharma",38,5
"Paresh Rawal","Rushita Pandya",39,5
"Paresh Rawal","Murli Sharma",161,5
"Annu Kapoor","Alka Badola Kaushal",35,34
"Annu Kapoor","Auritra Ghosh",36,34
"Annu Kapoor","Naseeruddin Shah",37,34
"Annu Kapoor","Manoj Raghubir Sharma",38,34
"Annu Kapoor","Rushita Pandya",39,34
"Annu Kapoor","Murli Sharma",161,34
"Alka Badola Kaushal","Auritra Ghosh",36,35
"Alka Badola Kaushal","Naseeruddin Shah",37,35
"Alka Badola Kaushal","Manoj Raghubir Sharma",38,35
"Alka Badola Kaushal","Rushita Pandya",39,35
"Alka Badola Kaushal","Murli Sharma",161,35
"Auritra Ghosh","Naseeruddin Shah",37,36
"Auritra Ghosh","Manoj Raghubir Sharma",38,36
"Auritra Ghosh","Rushita Pandya",39,36
"Auritra Ghosh","Murli Sharma",161,36
"Naseeruddin Shah","Manoj Raghubir Sharma",38,37
"Naseeruddin Shah","Rushita Pandya",39,37
"Naseeruddin Shah","Murli Sharma",161,37
"Manoj Raghubir Sharma","Rushita Pandya",39,38
"Manoj Raghubir Sharma","Murli Sharma",161,38
"Rushita Pandya","Murli Sharma",161,39
"Paresh Rawal","Kunal Khemu",40,5
"Paresh Rawal","Sonu Sood",41,5
"Paresh Rawal","Soha Ali Khan",42,5
"Paresh Rawal","Johnny Lever",43,5
