"from","to","target","source"
"Shah Rukh Khan","Kareena Kapoor",2,1
"Shah Rukh Khan","Danny Denzongpa",3,1
"Shah Rukh Khan","Rahul Dev",4,1
"Shah Rukh Khan","Hrishitaa Bhatt",5,1
"Shah Rukh Khan","Gerson Da Cunha",6,1
"Shah Rukh Khan","Subhashini Ali",7,1
"Shah Rukh Khan","Umesh Mehra",8,1
"Shah Rukh Khan","Sooraj Balaji",189,1
"Kareena Kapoor","Danny Denzongpa",3,2
"Kareena Kapoor","Rahul Dev",4,2
"Kareena Kapoor","Hrishitaa Bhatt",5,2
"Kareena Kapoor","Gerson Da Cunha",6,2
"Kareena Kapoor","Subhashini Ali",7,2
"Kareena Kapoor","Umesh Mehra",8,2
"Kareena Kapoor","Sooraj Balaji",189,2
"Danny Denzongpa","Rahul Dev",4,3
"Danny Denzongpa","Hrishitaa Bhatt",5,3
"Danny Denzongpa","Gerson Da Cunha",6,3
"Danny Denzongpa","Subhashini Ali",7,3
"Danny Denzongpa","Umesh Mehra",8,3
"Danny Denzongpa","Sooraj Balaji",189,3
"Rahul Dev","Hrishitaa Bhatt",5,4
"Rahul Dev","Gerson Da Cunha",6,4
"Rahul Dev","Subhashini Ali",7,4
"Rahul Dev","Umesh Mehra",8,4
"Rahul Dev","Sooraj Balaji",189,4
"Hrishitaa Bhatt","Gerson Da Cunha",6,5
"Hrishitaa Bhatt","Subhashini Ali",7,5
"Hrishitaa Bhatt","Umesh Mehra",8,5
"Hrishitaa Bhatt","Sooraj Balaji",189,5
"Gerson Da Cunha","Subhashini Ali",7,6
"Gerson Da Cunha","Umesh Mehra",8,6
"Gerson Da Cunha","Sooraj Balaji",189,6
"Subhashini Ali","Umesh Mehra",8,7
"Subhashini Ali","Sooraj Balaji",189,7
"Umesh Mehra","Sooraj Balaji",189,8
"Irrfan Khan","Shah Rukh Khan",1,9
"Irrfan Khan","Lara Dutta",10,9
"Irrfan Khan","Rajpal Yadav",11,9
"Irrfan Khan","Om Puri",12,9
"Irrfan Khan","Asrani",13,9
"Irrfan Khan","Manoj Joshi",190,9
"Shah Rukh Khan","Lara Dutta",10,1
"Shah Rukh Khan","Rajpal Yadav",11,1
"Shah Rukh Khan","Om Puri",12,1
"Shah Rukh Khan","Asrani",13,1
"Shah Rukh Khan","Manoj Joshi",190,1
"Lara Dutta","Rajpal Yadav",11,10
"Lara Dutta","Om Puri",12,10
"Lara Dutta","Asrani",13,10
"Lara Dutta","Manoj Joshi",190,10
"Rajpal Yadav","Om Puri",12,11
"Rajpal Yadav","Asrani",13,11
"Rajpal Yadav","Manoj Joshi",190,11
"Om Puri","Asrani",13,12
"Om Puri","Manoj Joshi",190,12
"Asrani","Manoj Joshi",190,13
"Naseeruddin Shah","Shah Rukh Khan",1,14
"Naseeruddin Shah","Pooja Bhatt",15,14
"Naseeruddin Shah","Anupam Kher",16,14
"Naseeruddin Shah","Ramya Krishnan",17,14
"Naseeruddin Shah","Avtar Gill",18,14
"Naseeruddin Shah","Mushtaq Khan",191,14
"Shah Rukh Khan","Pooja Bhatt",15,1
"Shah Rukh Khan","Anupam Kher",16,1
"Shah Rukh Khan","Ramya Krishnan",17,1
"Shah Rukh Khan","Avtar Gill",18,1
"Shah Rukh Khan","Mushtaq Khan",191,1
"Pooja Bhatt","Anupam Kher",16,15
"Pooja Bhatt","Ramya Krishnan",17,15
"Pooja Bhatt","Avtar Gill",18,15
"Pooja Bhatt","Mushtaq Khan",191,15
"Anupam Kher","Ramya Krishnan",17,16
"Anupam Kher","Avtar Gill",18,16
"Anupam Kher","Mushtaq Khan",191,16
"Ramya Krishnan","Avtar Gill",18,17
"Ramya Krishnan","Mushtaq Khan",191,17
"Avtar Gill","Mushtaq Khan",191,18
"Shah Rukh Khan","Rani Mukerji",19,1
"Shah Rukh Khan","Jas Arora",20,1
"Shah Rukh Khan","Satish Shah",21,1
"Shah Rukh Khan","Rajiv Verma",22,1
"Shah Rukh Khan","Lillete Dubey",23,1
"Shah Rukh Khan","Jayshree T.",24,1
"Shah Rukh Khan","Johny Lever",106,1
"Rani Mukerji","Jas Arora",20,19
"Rani Mukerji","Satish Shah",21,19
"Rani Mukerji","Rajiv Verma",22,19
"Rani Mukerji","Lillete Dubey",23,19
"Rani Mukerji","Jayshree T.",24,19
"Rani Mukerji","Johny Lever",106,19
"Jas Arora","Satish Shah",21,20
"Jas Arora","Rajiv Verma",22,20
"Jas Arora","Lillete Dubey",23,20
"Jas Arora","Jayshree T.",24,20
"Jas Arora","Johny Lever",106,20
"Satish Shah","Rajiv Verma",22,21
"Satish Shah","Lillete Dubey",23,21
"Satish Shah","Jayshree T.",24,21
"Satish Shah","Johny Lever",106,21
"Rajiv Verma","Lillete Dubey",23,22
"Rajiv Verma","Jayshree T.",24,22
"Rajiv Verma","Johny Lever",106,22
"Lillete Dubey","Jayshree T.",24,23
"Lillete Dubey","Johny Lever",106,23
"Jayshree T.","Johny Lever",106,24
"Shah Rukh Khan","Naseeruddin Shah",14,1
"Shah Rukh Khan","Urmila Matondkar",25,1
"Shah Rukh Khan","Malvika Tiwari",26,1
"Shah Rukh Khan","Shammi Kapoor",27,1
"Shah Rukh Khan","Deven Verma",28,1
"Shah Rukh Khan","Tinnu Anand",29,1
"Shah Rukh Khan","Anjana Mumtaz",30,1
"Shah Rukh Khan","Anjan Srivastav",31,1
"Shah Rukh Khan","Rakesh Bedi",192,1
"Naseeruddin Shah","Urmila Matondkar",25,14
"Naseeruddin Shah","Malvika Tiwari",26,14
"Naseeruddin Shah","Shammi Kapoor",27,14
"Naseeruddin Shah","Deven Verma",28,14
"Naseeruddin Shah","Tinnu Anand",29,14
"Naseeruddin Shah","Anjana Mumtaz",30,14
"Naseeruddin Shah","Anjan Srivastav",31,14
"Naseeruddin Shah","Rakesh Bedi",192,14
"Urmila Matondkar","Malvika Tiwari",26,25
"Urmila Matondkar","Shammi Kapoor",27,25
"Urmila Matondkar","Deven Verma",28,25
"Urmila Matondkar","Tinnu Anand",29,25
