"from","to","target","source"
"Bryson Baugus","Emily Neves",2,1
"Bryson Baugus","Blake Shepard",3,1
"Bryson Baugus","Patrick Poole",4,1
"Bryson Baugus","Luci Christian",5,1
"Bryson Baugus","Adam Gibbs",6,1
"Bryson Baugus","Masakazu Morita",7,1
"Bryson Baugus","Fumiko Orikasa",8,1
"Bryson Baugus","Takahiro Sakurai",9,1
"Bryson Baugus","Hiroaki Miura",10,1
"Bryson Baugus","Satomi Sato",11,1
"Bryson Baugus","Katsuyuki Konishi",14,1
"Emily Neves","Blake Shepard",3,2
"Emily Neves","Patrick Poole",4,2
"Emily Neves","Luci Christian",5,2
"Emily Neves","Adam Gibbs",6,2
"Emily Neves","Masakazu Morita",7,2
"Emily Neves","Fumiko Orikasa",8,2
"Emily Neves","Takahiro Sakurai",9,2
"Emily Neves","Hiroaki Miura",10,2
"Emily Neves","Satomi Sato",11,2
"Emily Neves","Katsuyuki Konishi",14,2
"Blake Shepard","Patrick Poole",4,3
"Blake Shepard","Luci Christian",5,3
"Blake Shepard","Adam Gibbs",6,3
"Blake Shepard","Masakazu Morita",7,3
"Blake Shepard","Fumiko Orikasa",8,3
"Blake Shepard","Takahiro Sakurai",9,3
"Blake Shepard","Hiroaki Miura",10,3
"Blake Shepard","Satomi Sato",11,3
"Blake Shepard","Katsuyuki Konishi",14,3
"Patrick Poole","Luci Christian",5,4
"Patrick Poole","Adam Gibbs",6,4
"Patrick Poole","Masakazu Morita",7,4
"Patrick Poole","Fumiko Orikasa",8,4
"Patrick Poole","Takahiro Sakurai",9,4
"Patrick Poole","Hiroaki Miura",10,4
"Patrick Poole","Satomi Sato",11,4
"Patrick Poole","Katsuyuki Konishi",14,4
"Luci Christian","Adam Gibbs",6,5
"Luci Christian","Masakazu Morita",7,5
"Luci Christian","Fumiko Orikasa",8,5
"Luci Christian","Takahiro Sakurai",9,5
"Luci Christian","Hiroaki Miura",10,5
"Luci Christian","Satomi Sato",11,5
"Luci Christian","Katsuyuki Konishi",14,5
"Adam Gibbs","Masakazu Morita",7,6
"Adam Gibbs","Fumiko Orikasa",8,6
"Adam Gibbs","Takahiro Sakurai",9,6
"Adam Gibbs","Hiroaki Miura",10,6
"Adam Gibbs","Satomi Sato",11,6
"Adam Gibbs","Katsuyuki Konishi",14,6
"Masakazu Morita","Fumiko Orikasa",8,7
"Masakazu Morita","Takahiro Sakurai",9,7
"Masakazu Morita","Hiroaki Miura",10,7
"Masakazu Morita","Satomi Sato",11,7
"Masakazu Morita","Katsuyuki Konishi",14,7
"Fumiko Orikasa","Takahiro Sakurai",9,8
"Fumiko Orikasa","Hiroaki Miura",10,8
"Fumiko Orikasa","Satomi Sato",11,8
"Fumiko Orikasa","Katsuyuki Konishi",14,8
"Takahiro Sakurai","Hiroaki Miura",10,9
"Takahiro Sakurai","Satomi Sato",11,9
"Takahiro Sakurai","Katsuyuki Konishi",14,9
"Hiroaki Miura","Satomi Sato",11,10
"Hiroaki Miura","Katsuyuki Konishi",14,10
"Satomi Sato","Katsuyuki Konishi",14,11
"Nao Toyama","Jun Fukuyama",13,12
"Nao Toyama","Katsuyuki Konishi",14,12
"Nao Toyama","Yoko Soumi",15,12
"Nao Toyama","Kana Asumi",16,12
"Nao Toyama","Akira Ishida",17,12
"Nao Toyama","Aoi Yuki",18,12
"Nao Toyama","Kazuhiko Inoue",19,12
"Nao Toyama","Yoko Hikasa",20,12
"Nao Toyama","Hirofumi Nojima",21,12
"Nao Toyama","Ryotaro Okiayu",22,12
"Nao Toyama","Eri Kitamura",23,12
"Nao Toyama","Mamiko Noto",24,12
"Nao Toyama","Ryo Hirohashi",25,12
"Nao Toyama","Shizuka Ito",26,12
"Nao Toyama","Hisao Egawa",27,12
"Nao Toyama","Mayumi Asano",28,12
"Nao Toyama","Kenta Miyake",29,12
"Nao Toyama","Ai Kakuma",30,12
"Nao Toyama","Kaito Ishikawa",31,12
"Nao Toyama","Mikako Komatsu",32,12
"Nao Toyama","Daisuke Sakaguchi",33,12
"Nao Toyama","Takanori Hoshino",34,12
"Nao Toyama","Kenjiro Tsuda",35,12
"Nao Toyama","Nozomu Sasaki",36,12
"Nao Toyama","Kenji Nojima",37,12
"Nao Toyama","Houko Kuwashima",38,12
"Nao Toyama","Kensho Ono",39,12
"Nao Toyama","Takahiro Sakurai",9,12
"Nao Toyama","Haruka Chisuga",40,12
"Nao Toyama","Yu Shimamura",41,12
"Nao Toyama","Takuma Terashima",42,12
"Nao Toyama","Takuya Sato",43,12
"Nao Toyama","Junko Minagawa",44,12
"Nao Toyama","Masashi Sugawara",45,12
"Nao Toyama","Sho Hayami",46,12
"Nao Toyama","Kazuyuki Okitsu",47,12
"Nao Toyama","Minako Kotobuki",66,12
"Jun Fukuyama","Katsuyuki Konishi",14,13
"Jun Fukuyama","Yoko Soumi",15,13
"Jun Fukuyama","Kana Asumi",16,13
"Jun Fukuyama","Akira Ishida",17,13
"Jun Fukuyama","Aoi Yuki",18,13
"Jun Fukuyama","Kazuhiko Inoue",19,13
"Jun Fukuyama","Yoko Hikasa",20,13
"Jun Fukuyama","Hirofumi Nojima",21,13
"Jun Fukuyama","Ryotaro Okiayu",22,13
"Jun Fukuyama","Eri Kitamura",23,13
"Jun Fukuyama","Mamiko Noto",24,13
"Jun Fukuyama","Ryo Hirohashi",25,13
"Jun Fukuyama","Shizuka Ito",26,13
"Jun Fukuyama","Hisao Egawa",27,13
"Jun Fukuyama","Mayumi Asano",28,13
"Jun Fukuyama","Kenta Miyake",29,13
"Jun Fukuyama","Ai Kakuma",30,13
"Jun Fukuyama","Kaito Ishikawa",31,13
"Jun Fukuyama","Mikako Komatsu",32,13
"Jun Fukuyama","Daisuke Sakaguchi",33,13
"Jun Fukuyama","Takanori Hoshino",34,13
"Jun Fukuyama","Kenjiro Tsuda",35,13
"Jun Fukuyama","Nozomu Sasaki",36,13
"Jun Fukuyama","Kenji Nojima",37,13
"Jun Fukuyama","Houko Kuwashima",38,13
"Jun Fukuyama","Kensho Ono",39,13
"Jun Fukuyama","Takahiro Sakurai",9,13
"Jun Fukuyama","Haruka Chisuga",40,13
"Jun Fukuyama","Yu Shimamura",41,13
"Jun Fukuyama","Takuma Terashima",42,13
"Jun Fukuyama","Takuya Sato",43,13
"Jun Fukuyama","Junko Minagawa",44,13
"Jun Fukuyama","Masashi Sugawara",45,13
"Jun Fukuyama","Sho Hayami",46,13
"Jun Fukuyama","Kazuyuki Okitsu",47,13
"Jun Fukuyama","Minako Kotobuki",66,13
"Katsuyuki Konishi","Yoko Soumi",15,14
"Katsuyuki Konishi","Kana Asumi",16,14
"Katsuyuki Konishi","Akira Ishida",17,14
"Katsuyuki Konishi","Aoi Yuki",18,14
"Katsuyuki Konishi","Kazuhiko Inoue",19,14
"Katsuyuki Konishi","Yoko Hikasa",20,14
"Katsuyuki Konishi","Hirofumi Nojima",21,14
"Katsuyuki Konishi","Ryotaro Okiayu",22,14
"Katsuyuki Konishi","Eri Kitamura",23,14
"Katsuyuki Konishi","Mamiko Noto",24,14
"Katsuyuki Konishi","Ryo Hirohashi",25,14
"Katsuyuki Konishi","Shizuka Ito",26,14
"Katsuyuki Konishi","Hisao Egawa",27,14
"Katsuyuki Konishi","Mayumi Asano",28,14
"Katsuyuki Konishi","Kenta Miyake",29,14
"Katsuyuki Konishi","Ai Kakuma",30,14
"Katsuyuki Konishi","Kaito Ishikawa",31,14
"Katsuyuki Konishi","Mikako Komatsu",32,14
"Katsuyuki Konishi","Daisuke Sakaguchi",33,14
"Katsuyuki Konishi","Takanori Hoshino",34,14
"Katsuyuki Konishi","Kenjiro Tsuda",35,14
"Katsuyuki Konishi","Nozomu Sasaki",36,14
"Katsuyuki Konishi","Kenji Nojima",37,14
"Katsuyuki Konishi","Houko Kuwashima",38,14
"Katsuyuki Konishi","Kensho Ono",39,14
"Katsuyuki Konishi","Takahiro Sakurai",9,14
"Katsuyuki Konishi","Haruka Chisuga",40,14
"Katsuyuki Konishi","Yu Shimamura",41,14
"Katsuyuki Konishi","Takuma Terashima",42,14
"Katsuyuki Konishi","Takuya Sato",43,14
"Katsuyuki Konishi","Junko Minagawa",44,14
"Katsuyuki Konishi","Masashi Sugawara",45,14
"Katsuyuki Konishi","Sho Hayami",46,14
"Katsuyuki Konishi","Kazuyuki Okitsu",47,14
"Katsuyuki Konishi","Minako Kotobuki",66,14
"Yoko Soumi","Kana Asumi",16,15
"Yoko Soumi","Akira Ishida",17,15
"Yoko Soumi","Aoi Yuki",18,15
"Yoko Soumi","Kazuhiko Inoue",19,15
"Yoko Soumi","Yoko Hikasa",20,15
"Yoko Soumi","Hirofumi Nojima",21,15
"Yoko Soumi","Ryotaro Okiayu",22,15
"Yoko Soumi","Eri Kitamura",23,15
"Yoko Soumi","Mamiko Noto",24,15
"Yoko Soumi","Ryo Hirohashi",25,15
"Yoko Soumi","Shizuka Ito",26,15
"Yoko Soumi","Hisao Egawa",27,15
"Yoko Soumi","Mayumi Asano",28,15
"Yoko Soumi","Kenta Miyake",29,15
"Yoko Soumi","Ai Kakuma",30,15
"Yoko Soumi","Kaito Ishikawa",31,15
"Yoko Soumi","Mikako Komatsu",32,15
"Yoko Soumi","Daisuke Sakaguchi",33,15
"Yoko Soumi","Takanori Hoshino",34,15
"Yoko Soumi","Kenjiro Tsuda",35,15
"Yoko Soumi","Nozomu Sasaki",36,15
"Yoko Soumi","Kenji Nojima",37,15
"Yoko Soumi","Houko Kuwashima",38,15
"Yoko Soumi","Kensho Ono",39,15
"Yoko Soumi","Takahiro Sakurai",9,15
"Yoko Soumi","Haruka Chisuga",40,15
"Yoko Soumi","Yu Shimamura",41,15
"Yoko Soumi","Takuma Terashima",42,15
"Yoko Soumi","Takuya Sato",43,15
"Yoko Soumi","Junko Minagawa",44,15
"Yoko Soumi","Masashi Sugawara",45,15
"Yoko Soumi","Sho Hayami",46,15
"Yoko Soumi","Kazuyuki Okitsu",47,15
"Yoko Soumi","Minako Kotobuki",66,15
"Kana Asumi","Akira Ishida",17,16
"Kana Asumi","Aoi Yuki",18,16
"Kana Asumi","Kazuhiko Inoue",19,16
"Kana Asumi","Yoko Hikasa",20,16
"Kana Asumi","Hirofumi Nojima",21,16
"Kana Asumi","Ryotaro Okiayu",22,16
"Kana Asumi","Eri Kitamura",23,16
"Kana Asumi","Mamiko Noto",24,16
"Kana Asumi","Ryo Hirohashi",25,16
"Kana Asumi","Shizuka Ito",26,16
"Kana Asumi","Hisao Egawa",27,16
"Kana Asumi","Mayumi Asano",28,16
"Kana Asumi","Kenta Miyake",29,16
"Kana Asumi","Ai Kakuma",30,16
"Kana Asumi","Kaito Ishikawa",31,16
"Kana Asumi","Mikako Komatsu",32,16
"Kana Asumi","Daisuke Sakaguchi",33,16
"Kana Asumi","Takanori Hoshino",34,16
"Kana Asumi","Kenjiro Tsuda",35,16
"Kana Asumi","Nozomu Sasaki",36,16
"Kana Asumi","Kenji Nojima",37,16
"Kana Asumi","Houko Kuwashima",38,16
"Kana Asumi","Kensho Ono",39,16
"Kana Asumi","Takahiro Sakurai",9,16
"Kana Asumi","Haruka Chisuga",40,16
"Kana Asumi","Yu Shimamura",41,16
"Kana Asumi","Takuma Terashima",42,16
"Kana Asumi","Takuya Sato",43,16
"Kana Asumi","Junko Minagawa",44,16
"Kana Asumi","Masashi Sugawara",45,16
"Kana Asumi","Sho Hayami",46,16
"Kana Asumi","Kazuyuki Okitsu",47,16
"Kana Asumi","Minako Kotobuki",66,16
"Akira Ishida","Aoi Yuki",18,17
"Akira Ishida","Kazuhiko Inoue",19,17
"Akira Ishida","Yoko Hikasa",20,17
"Akira Ishida","Hirofumi Nojima",21,17
"Akira Ishida","Ryotaro Okiayu",22,17
"Akira Ishida","Eri Kitamura",23,17
"Akira Ishida","Mamiko Noto",24,17
"Akira Ishida","Ryo Hirohashi",25,17
"Akira Ishida","Shizuka Ito",26,17
"Akira Ishida","Hisao Egawa",27,17
"Akira Ishida","Mayumi Asano",28,17
"Akira Ishida","Kenta Miyake",29,17
"Akira Ishida","Ai Kakuma",30,17
"Akira Ishida","Kaito Ishikawa",31,17
"Akira Ishida","Mikako Komatsu",32,17
"Akira Ishida","Daisuke Sakaguchi",33,17
"Akira Ishida","Takanori Hoshino",34,17
"Akira Ishida","Kenjiro Tsuda",35,17
"Akira Ishida","Nozomu Sasaki",36,17
"Akira Ishida","Kenji Nojima",37,17
"Akira Ishida","Houko Kuwashima",38,17
"Akira Ishida","Kensho Ono",39,17
"Akira Ishida","Takahiro Sakurai",9,17
"Akira Ishida","Haruka Chisuga",40,17
"Akira Ishida","Yu Shimamura",41,17
"Akira Ishida","Takuma Terashima",42,17
"Akira Ishida","Takuya Sato",43,17
"Akira Ishida","Junko Minagawa",44,17
"Akira Ishida","Masashi Sugawara",45,17
"Akira Ishida","Sho Hayami",46,17
"Akira Ishida","Kazuyuki Okitsu",47,17
"Akira Ishida","Minako Kotobuki",66,17
"Aoi Yuki","Kazuhiko Inoue",19,18
"Aoi Yuki","Yoko Hikasa",20,18
"Aoi Yuki","Hirofumi Nojima",21,18
"Aoi Yuki","Ryotaro Okiayu",22,18
"Aoi Yuki","Eri Kitamura",23,18
"Aoi Yuki","Mamiko Noto",24,18
"Aoi Yuki","Ryo Hirohashi",25,18
"Aoi Yuki","Shizuka Ito",26,18
"Aoi Yuki","Hisao Egawa",27,18
"Aoi Yuki","Mayumi Asano",28,18
"Aoi Yuki","Kenta Miyake",29,18
"Aoi Yuki","Ai Kakuma",30,18
"Aoi Yuki","Kaito Ishikawa",31,18
"Aoi Yuki","Mikako Komatsu",32,18
"Aoi Yuki","Daisuke Sakaguchi",33,18
"Aoi Yuki","Takanori Hoshino",34,18
"Aoi Yuki","Kenjiro Tsuda",35,18
"Aoi Yuki","Nozomu Sasaki",36,18
"Aoi Yuki","Kenji Nojima",37,18
"Aoi Yuki","Houko Kuwashima",38,18
"Aoi Yuki","Kensho Ono",39,18
"Aoi Yuki","Takahiro Sakurai",9,18
"Aoi Yuki","Haruka Chisuga",40,18
"Aoi Yuki","Yu Shimamura",41,18
"Aoi Yuki","Takuma Terashima",42,18
"Aoi Yuki","Takuya Sato",43,18
"Aoi Yuki","Junko Minagawa",44,18
"Aoi Yuki","Masashi Sugawara",45,18
"Aoi Yuki","Sho Hayami",46,18
"Aoi Yuki","Kazuyuki Okitsu",47,18
"Aoi Yuki","Minako Kotobuki",66,18
"Kazuhiko Inoue","Yoko Hikasa",20,19
"Kazuhiko Inoue","Hirofumi Nojima",21,19
"Kazuhiko Inoue","Ryotaro Okiayu",22,19
"Kazuhiko Inoue","Eri Kitamura",23,19
"Kazuhiko Inoue","Mamiko Noto",24,19
"Kazuhiko Inoue","Ryo Hirohashi",25,19
"Kazuhiko Inoue","Shizuka Ito",26,19
"Kazuhiko Inoue","Hisao Egawa",27,19
"Kazuhiko Inoue","Mayumi Asano",28,19
"Kazuhiko Inoue","Kenta Miyake",29,19
"Kazuhiko Inoue","Ai Kakuma",30,19
"Kazuhiko Inoue","Kaito Ishikawa",31,19
"Kazuhiko Inoue","Mikako Komatsu",32,19
"Kazuhiko Inoue","Daisuke Sakaguchi",33,19
"Kazuhiko Inoue","Takanori Hoshino",34,19
"Kazuhiko Inoue","Kenjiro Tsuda",35,19
"Kazuhiko Inoue","Nozomu Sasaki",36,19
"Kazuhiko Inoue","Kenji Nojima",37,19
"Kazuhiko Inoue","Houko Kuwashima",38,19
"Kazuhiko Inoue","Kensho Ono",39,19
"Kazuhiko Inoue","Takahiro Sakurai",9,19
"Kazuhiko Inoue","Haruka Chisuga",40,19
"Kazuhiko Inoue","Yu Shimamura",41,19
"Kazuhiko Inoue","Takuma Terashima",42,19
"Kazuhiko Inoue","Takuya Sato",43,19
"Kazuhiko Inoue","Junko Minagawa",44,19
"Kazuhiko Inoue","Masashi Sugawara",45,19
"Kazuhiko Inoue","Sho Hayami",46,19
"Kazuhiko Inoue","Kazuyuki Okitsu",47,19
"Kazuhiko Inoue","Minako Kotobuki",66,19
"Yoko Hikasa","Hirofumi Nojima",21,20
"Yoko Hikasa","Ryotaro Okiayu",22,20
"Yoko Hikasa","Eri Kitamura",23,20
"Yoko Hikasa","Mamiko Noto",24,20
"Yoko Hikasa","Ryo Hirohashi",25,20
"Yoko Hikasa","Shizuka Ito",26,20
"Yoko Hikasa","Hisao Egawa",27,20
"Yoko Hikasa","Mayumi Asano",28,20
"Yoko Hikasa","Kenta Miyake",29,20
"Yoko Hikasa","Ai Kakuma",30,20
"Yoko Hikasa","Kaito Ishikawa",31,20
"Yoko Hikasa","Mikako Komatsu",32,20
"Yoko Hikasa","Daisuke Sakaguchi",33,20
"Yoko Hikasa","Takanori Hoshino",34,20
"Yoko Hikasa","Kenjiro Tsuda",35,20
