"from","to","target","source"
"Yuki Kaji","Yui Ishikawa",2,1
"Yuki Kaji","Marina Inoue",3,1
"Yuki Kaji","Kisho Taniyama",4,1
"Yuki Kaji","Yu Shimamura",5,1
"Yuki Kaji","Yu Kobayashi",6,1
"Yuki Kaji","Shiori Mikami",7,1
"Yuki Kaji","Hiro Shimono",8,1
"Yuki Kaji","Ryota Osaka",9,1
"Yuki Kaji","Yoshimasa Hosoya",10,1
"Yuki Kaji","Tomohisa Hashizume",11,1
"Yuki Kaji","Saki Fujita",12,1
"Yuki Kaji","Hiroshi Kamiya",13,1
"Yuki Kaji","Daisuke Ono",14,1
"Yuki Kaji","Romi Park",15,1
"Yuki Kaji","Keiji Fujiwara",16,1
"Yuki Kaji","Kazuhiro Yamaji",17,1
"Yuki Kaji","Yusaku Yara",189,1
"Yui Ishikawa","Marina Inoue",3,2
"Yui Ishikawa","Kisho Taniyama",4,2
"Yui Ishikawa","Yu Shimamura",5,2
"Yui Ishikawa","Yu Kobayashi",6,2
"Yui Ishikawa","Shiori Mikami",7,2
"Yui Ishikawa","Hiro Shimono",8,2
"Yui Ishikawa","Ryota Osaka",9,2
"Yui Ishikawa","Yoshimasa Hosoya",10,2
"Yui Ishikawa","Tomohisa Hashizume",11,2
"Yui Ishikawa","Saki Fujita",12,2
"Yui Ishikawa","Hiroshi Kamiya",13,2
"Yui Ishikawa","Daisuke Ono",14,2
"Yui Ishikawa","Romi Park",15,2
"Yui Ishikawa","Keiji Fujiwara",16,2
"Yui Ishikawa","Kazuhiro Yamaji",17,2
"Yui Ishikawa","Yusaku Yara",189,2
"Marina Inoue","Kisho Taniyama",4,3
"Marina Inoue","Yu Shimamura",5,3
"Marina Inoue","Yu Kobayashi",6,3
"Marina Inoue","Shiori Mikami",7,3
"Marina Inoue","Hiro Shimono",8,3
"Marina Inoue","Ryota Osaka",9,3
"Marina Inoue","Yoshimasa Hosoya",10,3
"Marina Inoue","Tomohisa Hashizume",11,3
"Marina Inoue","Saki Fujita",12,3
"Marina Inoue","Hiroshi Kamiya",13,3
"Marina Inoue","Daisuke Ono",14,3
"Marina Inoue","Romi Park",15,3
"Marina Inoue","Keiji Fujiwara",16,3
"Marina Inoue","Kazuhiro Yamaji",17,3
"Marina Inoue","Yusaku Yara",189,3
"Kisho Taniyama","Yu Shimamura",5,4
"Kisho Taniyama","Yu Kobayashi",6,4
"Kisho Taniyama","Shiori Mikami",7,4
"Kisho Taniyama","Hiro Shimono",8,4
"Kisho Taniyama","Ryota Osaka",9,4
"Kisho Taniyama","Yoshimasa Hosoya",10,4
"Kisho Taniyama","Tomohisa Hashizume",11,4
"Kisho Taniyama","Saki Fujita",12,4
"Kisho Taniyama","Hiroshi Kamiya",13,4
"Kisho Taniyama","Daisuke Ono",14,4
"Kisho Taniyama","Romi Park",15,4
"Kisho Taniyama","Keiji Fujiwara",16,4
"Kisho Taniyama","Kazuhiro Yamaji",17,4
"Kisho Taniyama","Yusaku Yara",189,4
"Yu Shimamura","Yu Kobayashi",6,5
"Yu Shimamura","Shiori Mikami",7,5
"Yu Shimamura","Hiro Shimono",8,5
"Yu Shimamura","Ryota Osaka",9,5
"Yu Shimamura","Yoshimasa Hosoya",10,5
"Yu Shimamura","Tomohisa Hashizume",11,5
"Yu Shimamura","Saki Fujita",12,5
"Yu Shimamura","Hiroshi Kamiya",13,5
"Yu Shimamura","Daisuke Ono",14,5
"Yu Shimamura","Romi Park",15,5
"Yu Shimamura","Keiji Fujiwara",16,5
"Yu Shimamura","Kazuhiro Yamaji",17,5
"Yu Shimamura","Yusaku Yara",189,5
"Yu Kobayashi","Shiori Mikami",7,6
"Yu Kobayashi","Hiro Shimono",8,6
"Yu Kobayashi","Ryota Osaka",9,6
"Yu Kobayashi","Yoshimasa Hosoya",10,6
"Yu Kobayashi","Tomohisa Hashizume",11,6
"Yu Kobayashi","Saki Fujita",12,6
"Yu Kobayashi","Hiroshi Kamiya",13,6
"Yu Kobayashi","Daisuke Ono",14,6
"Yu Kobayashi","Romi Park",15,6
"Yu Kobayashi","Keiji Fujiwara",16,6
"Yu Kobayashi","Kazuhiro Yamaji",17,6
"Yu Kobayashi","Yusaku Yara",189,6
"Shiori Mikami","Hiro Shimono",8,7
"Shiori Mikami","Ryota Osaka",9,7
"Shiori Mikami","Yoshimasa Hosoya",10,7
"Shiori Mikami","Tomohisa Hashizume",11,7
"Shiori Mikami","Saki Fujita",12,7
"Shiori Mikami","Hiroshi Kamiya",13,7
"Shiori Mikami","Daisuke Ono",14,7
"Shiori Mikami","Romi Park",15,7
"Shiori Mikami","Keiji Fujiwara",16,7
"Shiori Mikami","Kazuhiro Yamaji",17,7
"Shiori Mikami","Yusaku Yara",189,7
"Hiro Shimono","Ryota Osaka",9,8
"Hiro Shimono","Yoshimasa Hosoya",10,8
"Hiro Shimono","Tomohisa Hashizume",11,8
"Hiro Shimono","Saki Fujita",12,8
"Hiro Shimono","Hiroshi Kamiya",13,8
"Hiro Shimono","Daisuke Ono",14,8
"Hiro Shimono","Romi Park",15,8
"Hiro Shimono","Keiji Fujiwara",16,8
"Hiro Shimono","Kazuhiro Yamaji",17,8
"Hiro Shimono","Yusaku Yara",189,8
"Ryota Osaka","Yoshimasa Hosoya",10,9
"Ryota Osaka","Tomohisa Hashizume",11,9
"Ryota Osaka","Saki Fujita",12,9
"Ryota Osaka","Hiroshi Kamiya",13,9
"Ryota Osaka","Daisuke Ono",14,9
"Ryota Osaka","Romi Park",15,9
"Ryota Osaka","Keiji Fujiwara",16,9
"Ryota Osaka","Kazuhiro Yamaji",17,9
"Ryota Osaka","Yusaku Yara",189,9
"Yoshimasa Hosoya","Tomohisa Hashizume",11,10
"Yoshimasa Hosoya","Saki Fujita",12,10
"Yoshimasa Hosoya","Hiroshi Kamiya",13,10
"Yoshimasa Hosoya","Daisuke Ono",14,10
"Yoshimasa Hosoya","Romi Park",15,10
"Yoshimasa Hosoya","Keiji Fujiwara",16,10
"Yoshimasa Hosoya","Kazuhiro Yamaji",17,10
"Yoshimasa Hosoya","Yusaku Yara",189,10
"Tomohisa Hashizume","Saki Fujita",12,11
"Tomohisa Hashizume","Hiroshi Kamiya",13,11
"Tomohisa Hashizume","Daisuke Ono",14,11
"Tomohisa Hashizume","Romi Park",15,11
"Tomohisa Hashizume","Keiji Fujiwara",16,11
"Tomohisa Hashizume","Kazuhiro Yamaji",17,11
"Tomohisa Hashizume","Yusaku Yara",189,11
"Saki Fujita","Hiroshi Kamiya",13,12
"Saki Fujita","Daisuke Ono",14,12
"Saki Fujita","Romi Park",15,12
"Saki Fujita","Keiji Fujiwara",16,12
"Saki Fujita","Kazuhiro Yamaji",17,12
"Saki Fujita","Yusaku Yara",189,12
"Hiroshi Kamiya","Daisuke Ono",14,13
"Hiroshi Kamiya","Romi Park",15,13
"Hiroshi Kamiya","Keiji Fujiwara",16,13
"Hiroshi Kamiya","Kazuhiro Yamaji",17,13
"Hiroshi Kamiya","Yusaku Yara",189,13
"Daisuke Ono","Romi Park",15,14
"Daisuke Ono","Keiji Fujiwara",16,14
"Daisuke Ono","Kazuhiro Yamaji",17,14
"Daisuke Ono","Yusaku Yara",189,14
"Romi Park","Keiji Fujiwara",16,15
"Romi Park","Kazuhiro Yamaji",17,15
"Romi Park","Yusaku Yara",189,15
"Keiji Fujiwara","Kazuhiro Yamaji",17,16
"Keiji Fujiwara","Yusaku Yara",189,16
"Kazuhiro Yamaji","Yusaku Yara",189,17
"Hiroaki Hirata","Yuki Kaji",1,18
"Hiroaki Hirata","Asami Seto",19,18
"Hiroaki Hirata","Hiroki Touchi",20,18
"Hiroaki Hirata","Minoru Inaba",21,18
"Hiroaki Hirata","Ami Koshimizu",22,18
"Hiroaki Hirata","Toshiyuki Toyonaga",23,18
"Hiroaki Hirata","Shintaro Tanaka",24,18
"Hiroaki Hirata","Atsushi Goto",25,18
