"name","id"
"Akshay Kumar",1
"Aishwarya Rai Bachchan",2
"Om Puri",3
"Kiron Kher",4
"Neha Dhupia",5
"Rannvijay Singh",6
"Aditya Roy Kapur",7
"Sudeepa Singh",8
"Randhir Kapoor",9
"Kareena Kapoor",10
"Priyanka Chopra",11
"Amrish Puri",12
"Paresh Rawal",13
"Anil Kapoor",14
"Sushmita Sen",15
"Shamita Shetty",16
"Manoj Bajpayee",17
"Kabir Bedi",18
"Nafisa Ali",19
"Supriya Pathak",20
"Raj Premi",21
"Govinda",22
"Lara Dutta",23
"Rajpal Yadav",24
"Jackie Shroff",25
"Arbaaz Khan",26
"Tanushree Dutta",27
"Asrani",28
"Vidya Balan",29
"Ameesha Patel",30
"Shiney Ahuja",31
"Manoj Joshi",32
"Vikram Gokhale",33
"Ronit Roy",34
"Shiv Pandit",35
"Mithun Chakraborty",36
"Johny Lever",37
"Aditi Rao Hydari",38
"Danny Denzongpa",39
"Govind Namdeo",40
"Parikshat Sahni",41
"Sidharth Malhotra",42
"Jacqueline Fernandez",43
"Shefali Shah",44
"Kulbhushan Kharbanda",45
"Rajendranath Zutshi",46
"Shruti Haasan",47
"Sunil Grover",48
"Ishita Vyas",49
"Suman Talwar",50
"Jaideep Ahlawat",51
"Katrina Kaif",52
"Bipasha Basu",53
"Bhagyashree",54
"Shernaz Patel",55
"Vivek Shaq",56
"Mahesh Thakur",57
"Ranjeet",58
"Nina Kulkarni",59
"Puneet Issar",60
"Anju Mahendru",61
"Ajay Devgn",62
"Tusshar Kapoor",63
"Esha Deol",64
"Laila",65
"Rahul Dev",66
"Koena Mitra",67
"Archana Puran Singh",68
"Aml Ameen",69
"Rhea Seehorn",70
"Roxanne McKee",71
"Urs Rechn",72
"Tanya van Graan",73
"Andre Jacobs",74
"Salman Khan",75
"Preity Zinta",76
"Anupam Kher",77
"Aman Verma",78
"Javed Sheikh",79
"Soni Razdan",80
"Sonakshi Sinha",81
"Shreyas Talpade",82
"Minissha Lamba",83
"Pitobash",84
"Darshan Jariwala",85
"Alexx O'Nell",86
"Sanjay Mishra",87
"Kader Khan",88
"Shashi Kala",89
"Tapsee Pannu",90
"Prithviraj Sukumaran",91
"Zakir Hussain",92
"Rishi Kapoor",93
"Upen Patel",94
"Nina Wadia",95
"Clive Standen",96
"Apoorva Arora",97
"Arun Bali",98
"Honey Chaaya",99
"Poonam Jhawer",100
"Mahesh Manjrekar",101
"Imran Khan",102
"Sonali Bendre",103
"Sarfaraz Khan",104
"Abhimanyu Singh",105
"Kurush Deboo",106
"Sonam Kapoor",107
"Radhika Apte",108
"Jyoti Subhash",109
"Urmila Mahanta",110
"Suneel Sinha",111
"Sanjay Singh",112
"Dimple Kapadia",113
"Anushka Sharma",114
"Tinnu Anand",115
"Prem Chopra",116
"Masood Akhtar",117
"Jeneva Talwar",118
"Sunil Shetty",119
"Rimi Sen",120
"Sharat Saxena",121
"Nasser",122
"Yashpal Sharma",123
"Paresh Ganatra",124
"Gurdip Kohli",125
"Mushtaq Khan",126
"Ileana D'Cruz",127
"Arjan Bajwa",128
"Esha Gupta",129
"Pavan Malhotra",130
"Parmeet Sethi",131
"Sachin Khedekar",132
"Anang Desai",133
"Kumud Mishra",134
"Brijendra Kala",135
"Usha Nadkarni",136
"Jimmy Shergill",137
"Kajal Aggarwal",138
"Divya Dutta",139
"Kharaj Mukherjee",140
"Rajesh Sharma",141
"Kishore Kadam",142
"Neeru Bajwa",143
"Deep Raj Rana",144
"Akshaye Khanna",145
"Arya Babbar",146
"Rajiv Lakshman",147
"Raghu Ram",148
"Vijay Maurya",149
"Dharampal",150
"Ali Asghar",151
"Bobby Deol",152
"Irrfan Khan",153
"Annu Kapoor",154
"Piyush Mishra",155
"Lisa Haydon",156
"Bhumi Pednekar",157
"Divyendu Sharma",158
"Atul Srivastava",159
"Ayesha Raza Mishra",160
"Mukesh S Bhatt",161
"Shubha Khote",162
"Nana Patekar",163
"Mallika Sherawat",164
"Feroz Khan",165
"Ruslaan Mumtaz",166
"Malaika Arora",167
"Supriya Karnik",168
"Shakti Kapoor",169
"Rasika Joshi",170
"Aakash Dabhade",171
"Ashutosh Rana",172
"Shruti Bapna",173
"Sven Ruygrok",174
"Nawab Shah",175
"Vrijesh Hirjee",176
"Satish Shah",177
"Virendra Saxenda",178
"Tiffany Mulheron",179
"Chetan Hansraj",180
"Rakesh Chaturvedi Om",181
"Suparna Marwah",182
"Suresh Menon",183
"Amit Kumar Tiwari",184
"Kanwaljeet Singh",185
"Neetu Singh",186
"Murli Sharma",187
"Celina Jaitly",188
"Sudhir Pandey",189
