"name","id"
"Amitabh Bachchan",1
"Saif Ali Khan",2
"Manoj Bajpayee",3
"Deepika Padukone",4
"Prateik",5
"Tanvi Azmi",6
"Saurabh Shukla",7
"Darshan Jariwala",8
"Yashpal Sharma",9
"Mithun Chakraborty",10
"Danny Denzongpa",11
"Madhavi",12
"Neelam",13
"Alok Nath",14
"Rohini Hattangadi",15
"Tinnu Anand",16
"Vikram Gokhale",17
"Vinod Khanna",18
"Rishi Kapoor",19
"Neetu Singh",20
"Parveen Babi",21
"Shabana Azmi",22
"Nirupa Roy",23
"Taapsee Pannu",24
"Amrita Singh",25
"Tony Luke",26
"Hema Malini",27
"Raveena Tandon",28
"Sonu Sood",29
"Sonal Chauhan",30
"Charmy Kaur",31
"Prakash Raj",32
"Makrand Deshpande",33
"Subbaraju",34
"Shawar Ali",35
"Rani Mukerji",36
"Randeep Hooda",37
"Saqib Saleem",38
"Nawazuddin Siddiqui",39
"Sadashiv Amrapurkar",40
"Ranvir Shorey",41
"Katrina Kaif",42
"Gulshan Grover",43
"Jackie Shroff",44
"Javed Jaffrey",45
"Madhu Sapre",46
"Padma Lakshmi",47
"Seema Biswas",48
"Zeenat Aman",49
"Dharmendra",50
"Sharmila Tagore",51
"Jaya Bhaduri",52
"Om Prakash",53
"Asrani",54
"David Abraham",55
"Usha Kiran",56
"Lily Chakravarty",57
"Shatrughan Sinha",58
"Prem Chopra",59
"Amrish Puri",60
"Helen",61
"Pran",62
"Gajanan Jagirdar",63
"Sajjan",64
"Saira Banu",65
"Sulakshana Pandit",66
"Shreeram Lagoo",67
"Pinchoo Kapoor",68
"P. Jairaj",69
"Asha Parekh",70
"Amjad Khan",71
"K.N. Singh",72
"Murad",73
"Kader Khan",74
"Shah Rukh Khan",75
"Abhishek Bachchan",76
"Preity Zinta",77
"Kiron Kher",78
"Kajol",79
"Hrithik Roshan",80
"Kareena Kapoor",81
"Farida Jalal",82
"Himani Shivpuri",83
"Fardeen Khan",84
"Navin Nischol",85
"Beena",86
"Anup Soni",87
"Johnny Lever",88
"Sharat Saxena",89
"Aishwarya Rai Bachchan",90
"Vivek Oberoi",91
"Om Puri",92
"Rati Agnihotri",93
"Sunil Shetty",94
"Sharad Kapoor",95
"Rajendranath Zutshi",96
"Sushant Singh",97
"Prashant Chainani",98
"Shakeel Khan",99
"Ajay Devgn",100
"Vidya Balan",101
"Sunny Deol",102
"Anil Kapoor",103
"Anupam Kher",104
"Shashi Kapoor",105
"Smita Patil",106
"Waheeda Rehman",107
"Ranjeet",108
"Dilip Prabhavalkar",109
"Juhi Chawla",110
"Nina Kulkarni",111
"Tapsee Pannu",112
"Kirti Kulhari",113
"Andrea Tariang",114
"Piyush Mishra",115
"Angad Bedi",116
"Vijay Varma",117
"Raashul Tandon",118
"Tushar Pandey",119
"Dhritiman Chatterjee",120
"Sachin",121
"Shakti Kapoor",122
"Ranjeeta Kaur",123
"Paintal",124
"Arjun Rampal",125
"Amrita Rao",126
"Vipin Sharma",127
"Sanjay Dutt",128
"Arbaaz Khan",129
"Diya Mirza",130
"Aarti Chhabria",131
"Tusshar Kapoor",132
"Neha Dhupia",133
"Rohit Roy",134
"Aditya Lakhia",135
"Ravi Gossain",136
"Shabbir Ahluwalia",137
"Akhilendra Mishra",138
"Mukesh Chhabra",139
"Sabyasachi Chakraborty",140
"Prakash Belawadi",141
"Tota Roy Chowdhury",142
"Padmavati Rao",143
"Madhavan",144
"Ben Kingsley",145
"Shraddha Kapoor",146
"Siddharth Kher",147
"Dhruv Ganesh",148
"Utpal Dutt",149
"Madan Puri",150
"Om Shivpuri",151
"Iftekhar",152
"Sujit Kumar",153
"Farhan Akhtar",154
"Aditi Rao Hydari",155
"Manav Kaul",156
"Neil Nitin Mukesh",157
"Mukesh Tiwari",158
"Archana Puran Singh",159
"Rajeev Verma",160
"Diana Penty",161
"Boman Irani",162
"Keshto Mukherjee",163
"Yunus Parvez",164
"Jagdeep",165
"Sakshi Shivanand",166
"Rahul Singh",167
"Deepti Naval",168
"Satyendra Kapoor",169
"Rajpal Yadav",170
"Mamata Shankar",171
"Anjali Patil",172
"Suneel Sinha",173
"Vaibhav Talwar",174
"Roopesh Kumar",175
"John Abraham",176
