"name","id"
"Gerard Butler",1
"Gretchen Mol",2
"Alison Brie",3
"Willem Dafoe",4
"Alfred Molina",5
"Maxwell Jenkins",6
"Anupam Kher",7
"Naseeruddin Shah",8
"Jimmy Shergill",9
"Deepal Shaw",10
"Aamir Bashir",11
"Kali Prasad Mukherjee",12
"Vijay Bhatia",13
"Sidharth Malhotra",14
"Manoj Bajpayee",15
"Rakul Preet Singh",16
"Pooja Chopra",17
"Adil Hussain",18
"Kumud Mishra",19
"Vikram Gokhale",20
"Mahesh Bhatt",21
"Mithun Chakraborty",22
"G.K. Desai",23
"Celina Jaitly",24
"Karan Johar",25
"Ekta Kapoor",26
"Tusshar Kapoor",27
"Ashok Pandit",28
"Lalit Parashar",29
"Raima Sen",30
"Shah Rukh Khan",31
"Pooja Bhatt",32
"Ramya Krishnan",33
"Avtar Gill",34
"Rishi Kapoor",35
"Ali Zafar",36
"Taapsee Pannu",37
"Siddharth",38
"Divyendu Sharma",39
"Bharati Achrekar",40
"Lillete Dubey",41
"Tapsee Pannu",42
"Varun Dhawan",43
"Ayaz Khan",44
"Aamir Khan",45
"Madhuri Dixit",46
"Saeed Jaffrey",47
"Deven Verma",48
"Shammi",49
"Padma Rani",50
"Rajesh Puri",51
"Abhishek Bachchan",52
"Kangana Ranaut",53
"Boman Irani",54
"Shahana Goswami",55
"Gauhar Khan",56
"Imran Khan",57
"Kareena Kapoor",58
"Nizhalgal Ravi",59
"Shraddha Kapoor",60
"Esha Gupta",61
"Sujata Kumar",62
"Sanjay Dutt",63
"Sridevi",64
"Rahul Roy",65
"Soni Razdan",66
"Reema Lagoo",67
"Kunika",68
"Tom Alter",69
"Bob Christo",70
"Anil Kapoor",71
"Aishwarya Rai Bachchan",72
"Sonali Bendre",73
"Puru Rajkumar",74
"Satish Kaushik",75
"Mukesh Rishi",76
"Jaspal Bhatti",77
"Razak Khan",78
"Himani Shivpuri",79
"Smita Jaykar",80
"Govinda",81
"Karisma Kapoor",82
"Pooja Batra",83
"Kader Khan",84
"Paresh Rawal",85
"Aruna Irani",86
"Ashish Vidyarthi",87
"Aashif Sheikh",88
"Asrani",89
"Shakti Kapoor",90
"Bindu",91
"Mahavir Shah",92
"Mohan Joshi",93
"Salman Khan",94
"Mohnish Bahl",95
"Renuka Shahane",96
"Alok Nath",97
"Akshay Kumar",98
"Preity Zinta",99
"Aman Verma",100
"Javed Sheikh",101
"Rambha",102
"Satish Shah",103
"Jacqueline Fernandez",104
"Rajpal Yadav",105
"Sachin Khedekar",106
"Zakir Hussain",107
"Jackie Shroff",108
"Rakhee Gulzar",109
"Pramod Moutho",110
"Sushmita Mukherjee",111
"Neena Gupta",112
"Parvin Dabas",113
"Tara Sharma",114
"Navin Nischol",115
"Kiran Juneja",116
"Ranvir Shorey",117
"Vinod Nagpal",118
"Vinay Pathak",119
"Kajol",120
"Rani Mukerji",121
"Farida Jalal",122
"Archana Puran Singh",123
"Johny Lever",124
"Saif Ali Khan",125
"Riteish Deshmukh",126
"Isha Koppikar",127
"Neha Dhupia",128
"Sharad Kapoor",129
"Kiran Kumar",130
"Amitabh Bachchan",131
"Ajay Devgn",132
"Vidya Balan",133
"Shatrughan Sinha",134
"Sunny Deol",135
"Prithviraj Sukumaran",136
"Danny Denzongpa",137
"Deepa Sahi",138
"Javed Jaffrey",139
"Amrish Puri",140
"Tinnu Anand",141
"Sadashiv Amrapurkar",142
"Tiku Talsania",143
"Kashyap Bharbhaya",144
"Anusmiritu Sarkar",145
"Rajesh Sharma",146
"Murli Sharma",147
"Ananth Narayan Mahadevan",148
"Dilip Prabhavalkar",149
"Juhi Chawla",150
"Nina Kulkarni",151
"Sonam Kapoor",152
"Neil Nitin Mukesh",153
"Sanjay Mishra",154
"Swara Bhaskar",155
"Deepak Dobriyal",156
"Arman Kohli",157
"Manoj Joshi",158
"Samaira Rao",159
"Karuna Pandey",160
"Atul Kulkarni",161
"Sharman Joshi",162
"Kunal Kapoor",163
"Alice Patten",164
"Soha Ali Khan",165
"Waheeda Rehman",166
"Kiron Kher",167
"Om Puri",168
"Bradley Cooper",169
"Jennifer Lawrence",170
"Robert De Niro",171
"Jacki Weaver",172
"Chris Tucker",173
"John Ortiz",174
"Shea Whigham",175
"Julia Stiles",176
"Kajal Aggarwal",177
"Divya Dutta",178
"Kharaj Mukherjee",179
"Kishore Kadam",180
"Neeru Bajwa",181
"Deep Raj Rana",182
"Rekha",183
"Randhir Kapoor",184
"Shweta Kumar",185
"Varsha Usgaonkar",186
"Rajesh Kumar",187
"Purav Bhandare",188
"Rahul Bose",189
"Victor Banerjee",190
"Ankush Dubey",191
"Rasika Dugal",192
"Rahul Khanna",193
"Sana Shaikh",194
"Dheirya Sonecha",195
"Fatima Sana Shaikh",196
"Russell Peters",197
"Christina Cole",198
"Mishqah Parthiephal",199
"Hamza Haq",200
"Meren Reddy",201
"Annu Kapoor",202
"Piyush Mishra",203
"Lisa Haydon",204
"Bhumi Pednekar",205
"Atul Srivastava",206
"Ayesha Raza Mishra",207
"Mukesh S Bhatt",208
"Shubha Khote",209
"Shahid Kapoor",210
"Amrita Rao",211
"Seema Biswas",212
"Samir Soni",213
"Lata Sabharwal",214
"Dinesh Lamba",215
"Ranbir Kapoor",216
"Konkona Sen Sharma",217
"Shruti Bapna",218
"Krutika Bolaki",219
"Namit Das",220
"Munir Kabani",221
"Mohsin Ali Khan",222
"Aakash Pandey",223
"Milind Gunaji",224
"Perizaad Zorabian",225
"Smiley Suri",226
"Rajit Kapoor",227
"Purab Kohli",228
"Sarika",229
"Sayaji Shinde",230
"Vijay Raaz",231
"Ashwin Mushran",232
"Veerendra Saxena",233
"Dharmendra",234
"Bobby Deol",235
"Neha Sharma",236
"Kristina Akheeva",237
"Johnny Lever",238
"Sucheta Khanna",239
"Aidan Cook",240
"Darsheel Safary",241
"Manjari Fadnis",242
"Sheeba Chaddha",243
"S.M. Zaheer",244
"Aayam Mehta",245
"Gargi Datar",246
"Dustin Milligan",247
"Chetan Pandit",248
"Juhi Babbar",249
"Mushtaq Khan",250
"Ashish Verma",251
"Satyendra Kapoor",252
"Sarah-Jane Dias",253
"Neelu Kohli",254
"Anang Desai",255
"Tanaaz Currim Irani",256
"Anil Dhawan",257
"Nawab Shah",258
"Pavan Malhotra",259
"A.K. Hangal",260
"Nitish Pandey",261
"Sana Saeed",262
"Chandrachur Singh",263
"Jay Sean",264
"Sushmita Sen",265
"Deepti Naval",266
"Virendra Saxenda",267
"Deepshikha",268
"Madhavan",269
"Paul Herman",270
"Neetu Singh",271
"Shreya Narayan",272
"William Shatner",273
"Sudhir Pandey",274
"Amrita Prakash",275
"Kainaz Motivala",276
"Siddhant Karnick",277
"Jai Vyas",278
