"name","id"
"Aamir Khan",1
"Kareena Kapoor",2
"Madhavan",3
"Sharman Joshi",4
"Omi Vaidya",5
"Boman Irani",6
"Mona Singh",7
"Abhishek Bachchan",8
"Priyanka Chopra",9
"Riteish Deshmukh",10
"Nana Patekar",11
"Sanjay Mishra",12
"Tinnu Anand",13
"Amitabh Bachchan",14
"Gulshan Grover",15
"Jackie Shroff",16
"Javed Jaffrey",17
"Katrina Kaif",18
"Madhu Sapre",19
"Padma Lakshmi",20
"Seema Biswas",21
"Zeenat Aman",22
"Aftab Shivdasani",23
"Antara Mali",24
"Isha Koppikar",25
"Raghuvir Yadav",26
"Rajpal Yadav",27
"Revathy",28
"Saif Ali Khan",29
"Sameera Reddy",30
"Sanjay Kapoor",31
"Shilpa Shetty",32
"Sohail Khan",33
"John Abraham",34
"Bipasha Basu",35
"Arshad Warsi",36
"Shernaz Patel",37
"Dibyendu Bhattacharya",38
"Gilbert Montoya",39
"Dalip Tahil",40
"Shah Rukh Khan",41
"Kajol",42
"Kriti Sanon",43
"Kabir Bedi",44
"Varun Dhawan",45
"Johnny Lever",46
"Varun Sharma",47
"Vinod Khanna",48
"Mukesh Tiwari",49
"Pankaj Tripathi",50
"Arjun Rampal",51
"Om Puri",52
"Lara Dutta",53
"Kunal Kapoor",54
"Alyy Khan",55
"Bobby Deol",56
"Kiron Kher",57
"Sushmita Mukherjee",58
"Shrey Bawa",59
"Jacqueline Fernandez",60
"Sushant Singh Rajput",61
"Vikramjeet Virk",62
"Sapna Pabbi",63
"Vibha Chhibber",64
"Imran Khan",65
"Ram Kapoor",66
"Ratna Pathak Shah",67
"Zenobia Shroff",68
"Soniya Mehra",69
"Akshat Verma",70
"Dana Lewis",71
"Ritwik Sahore",72
"Paresh Rawal",73
"Deepak Shirke",74
"Satyadeep Misra",75
"Aakash Dabhade",76
"Nilesh Diwekar",77
"Sonakshi Sinha",78
"Tahir Raj Bhasin",79
"Narendra Jha",80
"Adil Hussain",81
"Vikram Kapadia",82
"Patricia Hittler",83
"Genelia D'souza",84
"Raj Babbar",85
"Freddy Daruwala",86
"Kangana Ranaut",87
"Anupam Kher",88
"Jimmy Shergill",89
"Shahana Goswami",90
"Gauhar Khan",91
"Deepika Padukone",92
"Sonu Sood",93
"Shabana Azmi",94
"Abhay Deol",95
"Minissha Lamba",96
"Kay Kay Menon",97
"Raima Sen",98
"Sandhya Mridul",99
"Vikram Chatwal",100
"Ameesha Patel",101
"Karan Khanna",102
"Diya Mirza",103
"Parvin Dabas",104
"Tara Sharma",105
"Navin Nischol",106
"Kiran Juneja",107
"Ranvir Shorey",108
"Vinod Nagpal",109
"Vinay Pathak",110
"Rajkummar Rao",111
"Mouni Roy",112
"Sumeet Vyas",113
"Gajraj Rao",114
"Manoj Joshi",115
"Sanjay Goradia",116
"Amyra Dastur",117
"Chittaranjan Tripathi",118
"Sunil Shetty",119
"Sushmita Sen",120
"Zayed Khan",121
"Amrita Rao",122
"Bindu",123
"Naseeruddin Shah",124
"Anil Kapoor",125
"Salman Khan",126
"Fardeen Khan",127
"Esha Deol",128
"Celina Jaitly",129
"Diana Penty",130
"Anuja Sathe",131
"Yogendra Tikku",132
"Aditya Hitkari",133
"Vikas Kumar",134
"Ajay Shankar",135
"Darshan Pandya",136
"Anuskha Sharma",137
"Sanjay Dutt",138
"Saurabh Shukla",139
"Parikshat Sahni",140
"Ranbir Kapoor",141
"Vicky Kaushal",142
"Sonam Kapoor",143
"Dia Mirza",144
"Jim Sarbh",145
"Anushka Sharma",146
"Manisha Koirala",147
"Vir Das",148
"Neha Dhupia",149
"Lisa Haydon",150
"Johny Lever",151
"Vijay Raaz",152
"Ajay Devgn",153
"Kangna Ranaut",154
"Mallika Sherawat",155
"Avika Gor",156
"Dominic Power",157
"Aditi Rao Hydari",158
"Kayoze Irani",159
"Sammir Dattani",160
"Ila Arun",161
"Ravi Kishan",162
"Sonali Kulkarni",163
"Rajit Kapoor",164
"Ravi Jhankal",165
"Yashpal Sharma",166
"Hussain Shaikh",167
"Vivek Oberoi",168
"Rajendranath Zutshi",169
"Shawar Ali",170
"Pavan Malhotra",171
"Nawab Shah",172
"Kaustubh Kumar",173
"Rajesh Khattar",174
"Vidya Balan",175
"Sarah-Jane Dias",176
"Vivaan Shah",177
"Nitish Pandey",178
"Abhishek Banerjee",179
"Mark Benington",180
"Rukhsar",181
"Ayub Khan",182
"Mohanlal",183
"Rajendra Gupta",184
