"name","id"
"Naseeruddin Shah",1
"Jackie Shroff",2
"Juhi Chawla",3
"Nagesh Kukunoor",4
"Gulshan Grover",5
"Aditya Lakhia",6
"Priyanka Chopra",7
"Neil Nitin Mukesh",8
"John Abraham",9
"Irrfan Khan",10
"Aleksandr Dyachenko",11
"Annu Kapoor",12
"Vivaan Shah",13
"Usha Uthup",14
"Anupam Kher",15
"Jimmy Shergill",16
"Deepal Shaw",17
"Aamir Bashir",18
"Kali Prasad Mukherjee",19
"Vijay Bhatia",20
"Sidharth Malhotra",21
"Manoj Bajpayee",22
"Rakul Preet Singh",23
"Pooja Chopra",24
"Adil Hussain",25
"Kumud Mishra",26
"Vikram Gokhale",27
"Arjun Mathur",28
"Vijay Raaz",29
"Tannishtha Chatterjee",30
"Violante Placido",31
"Farooq Shaikh",32
"Smita Patil",33
"Bharat Kapoor",34
"Supriya Pathak",35
"Rita Rani Kaul",36
"Shah Rukh Khan",37
"Pooja Bhatt",38
"Ramya Krishnan",39
"Avtar Gill",40
"Urmila Matondkar",41
"Malvika Tiwari",42
"Shammi Kapoor",43
"Deven Verma",44
"Tinnu Anand",45
"Anjana Mumtaz",46
"Anjan Srivastav",47
"Madhuri Dixit",48
"Arshad Warsi",49
"Huma Qureshi",50
"Manoj Pahwa",51
"Paresh Rawal",52
"Alka Badola Kaushal",53
"Auritra Ghosh",54
"Manoj Raghubir Sharma",55
"Rushita Pandya",56
"Kahaan",57
"Tara Deshpande",58
"Akash Khurana",59
"Ratna Pathak Shah",60
"Dilip Prabhavalkar",61
"Kabir Sajid",62
"Sonali Kulkarni",63
"Amir Bashir",64
"Naveen Kasturia",65
"Neha Chauhan",66
"Shreyas Talpade",67
"Girish Karnad",68
"Shweta Prasad",69
"Yatin Karyekar",70
"Prateeksha Lonkar",71
"Dilip Salgaonkar",72
"Jyoti Joshi",73
"Aadarsh Balakrishna",74
"Vidya Balan",75
"Salman Shahid",76
"Randeep Hooda",77
"Shernaz Patel",78
"Elena Kazan",79
"Sharat Saxena",80
"Vipin Sharma",81
"Denzil Smith",82
"Kenneth Desai",83
"Suchitra Krishnamoorthi",84
"Deepak Tijori",85
"Rita Bhaduri",86
"Satish Shah",87
"Goga Kapoor",88
"Tiku Talsania",89
"Ravi Baswani",90
"Deepti Naval",91
"Veeni Paranjape Joglekar",92
"Mallika Sarabhai",93
"Sunil Shetty",94
"Sushmita Sen",95
"Zayed Khan",96
"Amrita Rao",97
"Kiron Kher",98
"Boman Irani",99
"Bindu",100
"Rajpal Yadav",101
"Rituparna Sengupta",102
"Kay Kay Menon",103
"Varun Bandola",104
"Vinod Nagpal",105
"Shabana Azmi",106
"Amrish Puri",107
"Kulbhushan Kharbanda",108
"Saeed Jaffrey",109
"Om Puri",110
"Sreela Mazumdar",111
"Jugal Hansraj",112
"Aradhana Srivastav",113
"Tanuja",114
"Mahie Gill",115
"Sabyasachi Chakraborty",116
"Rudranil Ghosh",117
"Iravati Harshe",118
"Churni Ganguly",119
"June Maliah",120
"Purav Bhandare",121
"Omkar Das Manikpuri",122
"Raghuvir Yadav",123
"Malaika Shenoy",124
"Nawazuddin Siddiqui",125
"Sitaram Panchal",126
"Shalini Vatsa",127
"Farrukh Jaffar",128
"Ajay Devgn",129
"Nana Patekar",130
"Ranbir Kapoor",131
"Katrina Kaif",132
"Arjun Rampal",133
"Sarah Thompson",134
"Mithun Chakraborty",135
"Irina Kushnareva",136
"Varsha Usgaonkar",137
"Amrit Pal",138
"Achyut Potdar",139
"Leela Naidu",140
"Neena Gupta",141
"Anita Kanwar",142
"Soni Razdan",143
"Dalip Tahil",144
"K.K. Raina",145
"Kunal Kapoor",146
"Keith Stevenson",147
"Kalki Koechlin",148
"Rajat Kapoor",149
"Rajeev Ravindranathan",150
"Ratnabali Bhattacharjee",151
"Suhasini",152
"Hrithik Roshan",153
"Abhay Deol",154
"Farhan Akhtar",155
"Shri Vallabh Vyas",156
"Konkona Sen Sharma",157
"Chetan Pandit",158
"Juhi Babbar",159
"Benjamin Gilani",160
"Malika",161
"Mushtaq Khan",162
"Rakesh Bedi",163
"Murli Sharma",164
"Kuldeep Sodha",165
"Virti Vaghani",166
"Gururaj Manepalli",167
"Anupama Kumar",168
"Sushil Pandey",169
"Arun Joglekar",170
"Kabir Bedi",171
"Shridhar Watsar",172
"Vishal Om Prakash",173
"Lilliput",174
"Ariadna Cabrol",175
