"name","id"
"Akshay Kumar",1
"Kareena Kapoor",2
"Priyanka Chopra",3
"Amrish Puri",4
"Paresh Rawal",5
"Aamir Khan",6
"Salman Khan",7
"Raveena Tandon",8
"Karisma Kapoor",9
"Mehmood",10
"Deven Verma",11
"Jagdeep",12
"Govinda",13
"Lara Dutta",14
"Rajpal Yadav",15
"Jackie Shroff",16
"Arbaaz Khan",17
"Tanushree Dutta",18
"Asrani",19
"Vidya Balan",20
"Ameesha Patel",21
"Shiney Ahuja",22
"Manoj Joshi",23
"Vikram Gokhale",24
"Shahid Kapoor",25
"Om Puri",26
"Neha Dhupia",27
"Sunil Shetty",28
"Randeep Hooda",29
"Nandana Sen",30
"Jim Boeven",31
"Tom Alter",32
"Vipin Sharma",33
"Annu Kapoor",34
"Alka Badola Kaushal",35
"Auritra Ghosh",36
"Naseeruddin Shah",37
"Manoj Raghubir Sharma",38
"Rushita Pandya",39
"Kunal Khemu",40
"Sonu Sood",41
"Soha Ali Khan",42
"Johnny Lever",43
"Dilip Joshi",44
"Malay Chakrabarty",45
"Razak Khan",46
"Sharman Joshi",47
"Boman Irani",48
"Ritwik Sahore",49
"Deepak Shirke",50
"Satyadeep Misra",51
"Aakash Dabhade",52
"Nilesh Diwekar",53
"Nana Patekar",54
"Aruna Irani",55
"Mohan Joshi",56
"Mohnish Bahl",57
"Shivaji Satham",58
"Vishwajeet Pradhan",59
"Ashwin Kaushal",60
"Ajay Devgn",61
"Tusshar Kapoor",62
"Arshad Warsi",63
"Rimi Sen",64
"Sushmita Mukherjee",65
"Sanjay Dutt",66
"Pooja Batra",67
"Kader Khan",68
"Satish Kaushik",69
"Anupam Kher",70
"Ashish Vidyarthi",71
"Aashif Sheikh",72
"Shakti Kapoor",73
"Bindu",74
"Mahavir Shah",75
"Kunal Kapoor",76
"Danny Denzongpa",77
"Prateeksha Lonkar",78
"Gautam Bhimani",79
"Tamannaah Bhatia",80
"Zarina Wahab",81
"Rajkummar Rao",82
"Mouni Roy",83
"Sumeet Vyas",84
"Gajraj Rao",85
"Sanjay Goradia",86
"Amyra Dastur",87
"Chittaranjan Tripathi",88
"Deepa Sahi",89
"Farooq Shaikh",90
"Raj Babbar",91
"Shah Rukh Khan",92
"Shreeram Lagoo",93
"Sudha Shivpuri",94
"Raghuvir Yadav",95
"Madhavan",96
"Irrfan Khan",97
"Kay Kay Menon",98
"Anand Goradia",99
"Vijay Maurya",100
"Vibhavari Deshpande",101
"Santosh Juvekar",102
"Mithun Chakraborty",103
"Apoorva Arora",104
"Arun Bali",105
"Honey Chaaya",106
"Poonam Jhawer",107
"Mahesh Manjrekar",108
"Abhay Deol",109
"Neetu Chandra",110
"Archana Puran Singh",111
"Manu Rishi Chadha",112
"Richa Chadda",113
"Anurag Arora",114
"Rajender Sethi",115
"Manjot Singh",116
"Juhi Chawla",117
"Satish Shah",118
"Dilip Tahil",119
"Govind Namdeo",120
"Smita Jaykar",121
"Bipasha Basu",122
"Johny Lever",123
"Sharat Saxena",124
"Emraan Hashmi",125
"Humaima Malik",126
"Deepak Tijori",127
"Prachi Shah",128
"Asin",129
"Anuradha Patel",130
"Manoj Pahwa",131
"Puneet Issar",132
"Akhilendra Mishra",133
"Zarine Khan",134
"Pavan Malhotra",135
"Javed Sheikh",136
"Swati Chitnis",137
"Masood Akhtar",138
"Sudhir Nema",139
"Ranbir Kapoor",140
"Vicky Kaushal",141
"Sonam Kapoor",142
"Dia Mirza",143
"Jim Sarbh",144
"Anushka Sharma",145
"Manisha Koirala",146
"Nagarjuna Akkineni",147
"Amala",148
"Rajendranath Zutshi",149
"Raghuvaran",150
"Brij Gopal",151
"J.D. Chakravarthi",152
"Katrina Kaif",153
"Anil Kapoor",154
"Mallika Sherawat",155
"Feroz Khan",156
"Ruslaan Mumtaz",157
"Malaika Arora",158
"Rasika Joshi",159
"Gaurav Dwivedi",160
"Murli Sharma",161
"Hrishitaa Bhatt",162
"Vrajesh Hirjee",163
"Anil Dhawan",164
"Harsha Bhogle",165
"Abhishek Banerjee",166
"Satyadev Dubey",167
"Kamlesh Sawant",168
"Chandan Anand",169
"Suresh Menon",170
"Mohammed Zeeshan Ayyub",171
"Arya Babbar",172
"Rakesh Srivastava",173
"Tanikella Bharani",174
