"name","id"
"Shah Rukh Khan",1
"Kareena Kapoor",2
"Danny Denzongpa",3
"Rahul Dev",4
"Hrishitaa Bhatt",5
"Gerson Da Cunha",6
"Subhashini Ali",7
"Umesh Mehra",8
"Irrfan Khan",9
"Lara Dutta",10
"Rajpal Yadav",11
"Om Puri",12
"Asrani",13
"Naseeruddin Shah",14
"Pooja Bhatt",15
"Anupam Kher",16
"Ramya Krishnan",17
"Avtar Gill",18
"Rani Mukerji",19
"Jas Arora",20
"Satish Shah",21
"Rajiv Verma",22
"Lillete Dubey",23
"Jayshree T.",24
"Urmila Matondkar",25
"Malvika Tiwari",26
"Shammi Kapoor",27
"Deven Verma",28
"Tinnu Anand",29
"Anjana Mumtaz",30
"Anjan Srivastav",31
"Deepika Padukone",32
"Nikitin Dheer",33
"Satyaraj",34
"Kamini Kaushal",35
"Lekh Tandon",36
"Alia Bhatt",37
"Ira Dubey",38
"Yashaswini Dayama",39
"Gautmik",40
"Raj Bhansali",41
"Rohit Saraf",42
"Atul Kale",43
"Kunal Kapoor",44
"Angad Bedi",45
"Ali Zafar",46
"Manisha Koirala",47
"Preity Zinta",48
"Raghuvir Yadav",49
"Zohra Sehgal",50
"Sabyasachi Chakraborty",51
"Piyush Mishra",52
"Krishnakant",53
"Kajol",54
"Kriti Sanon",55
"Kabir Bedi",56
"Varun Dhawan",57
"Boman Irani",58
"Johnny Lever",59
"Varun Sharma",60
"Sanjay Mishra",61
"Vinod Khanna",62
"Mukesh Tiwari",63
"Pankaj Tripathi",64
"Priyanka Chopra",65
"Arjun Rampal",66
"Isha Koppikar",67
"Alyy Khan",68
"Juhi Chawla",69
"Sonali Bendre",70
"Farida Jalal",71
"Mohnish Bahl",72
"Tiku Talsania",73
"Gulshan Grover",74
"Rajeshwari",75
"Saeed Jaffrey",76
"Kiran Kumar",77
"Baba Brahmbhatt",78
"Ishita Haria",79
"Sunny Singh",80
"Abhishek Bachchan",81
"Sonu Sood",82
"Anushka Sharma",83
"Aru Krishansh Verma",84
"Chandan Roy Sanyal",85
"Evelyn Sharma",86
"Kavi Shastri",87
"Barbora Mudrochova",88
"Paula Donner",89
"Denis Dorokhov",90
"Amitabh Bachchan",91
"Kiron Kher",92
"Suchitra Krishnamoorthi",93
"Deepak Tijori",94
"Rita Bhaduri",95
"Goga Kapoor",96
"Ravi Baswani",97
"Jaya Bhaduri",98
"Hrithik Roshan",99
"Himani Shivpuri",100
"Saif Ali Khan",101
"Sushma Seth",102
"Reema Lagoo",103
"Salman Khan",104
"Archana Puran Singh",105
"Johny Lever",106
"Sunil Shetty",107
"Sushmita Sen",108
"Zayed Khan",109
"Amrita Rao",110
"Bindu",111
"Deepa Sahi",112
"Farooq Shaikh",113
"Raj Babbar",114
"Shreeram Lagoo",115
"Sudha Shivpuri",116
"Paresh Rawal",117
"Javed Jaffrey",118
"Amrish Puri",119
"Tom Alter",120
"Sadashiv Amrapurkar",121
"Shreyas Talpade",122
"Kirron Kher",123
"Jackie Shroff",124
"Nirmal Pandey",125
"Dilip Joshi",126
"Sahila Chaddha",127
"Suresh Chatwal",128
"Bharat Dabholkar",129
"Baby Gazala",130
"Dilip Prabhavalkar",131
"Nina Kulkarni",132
"Mahima Chaudhry",133
"Apoorva Agnihotri",134
"Alok Nath",135
"Padmavati Rao",136
"Madhuri Bhatia",137
"Dina Pathak",138
"Benu Kalsi",139
"Anand Balraj",140
"Ajay Nagrath",141
"Deepak Qazir",142
"Shashi Sharma",143
"Smita Jaykar",144
"Pavan Malhotra",145
"Aditya Narayan",146
"Dilip Tahil",147
"Govind Namdeo",148
"Shakti Kapoor",149
"Mahira Khan",150
"Nawazuddin Siddiqui",151
"Mohammed Zeeshan Ayyub",152
"Sheeba Chaddha",153
"Shubham Chintamani",154
"Shubham Tukaram",155
"Atul Kulkarni",156
"Narendra Jha",157
"Jaideep Ahlawat",158
"Vivek Mushran",159
"Pankaj Kapur",160
"Puneet Issar",161
"Amrit Pal",162
"Karisma Kapoor",163
"Nana Patekar",164
"Sanjay Kapoor",165
"Deepti Naval",166
"Vijay Raaz",167
"Jaspal Bhatti",168
"Divya Dutta",169
"Gayatri Joshi",170
"Kishori Balal",171
"Smith Seth",172
"Rajesh Vivek",173
"Daya Shankar Pandey",174
"Anil Kapoor",175
"Satyendra Kapoor",176
"Gautami",177
"Anirudh Agarwal",178
"Mohan Agashe",179
"Priya Tendulkar",180
"Anjali Jathar",181
"Anang Desai",182
"Pramod Moutho",183
"Katrina Kaif",184
"Tigmanshu Dhulia",185
"Brijendra Kala",186
"Mallika Dua",187
"Abhay Deol",188
"Sooraj Balaji",189
"Manoj Joshi",190
"Mushtaq Khan",191
"Rakesh Bedi",192
"Aditya Roy Kapoor",193
"Aditya Srivastava",194
"Shawar Ali",195
"Nawab Shah",196
"Sharat Saxena",197
"Gulshan Bawra",198
"Vivaan Shah",199
"Martavious Gayles",200
"Delnaaz Paul",201
"Sana Saeed",202
"Satyadev Dubey",203
"David Letterman",204
"Kader Khan",205
"Javed Sheikh",206
"Akash Khurana",207
"Subhash Ghai",208
"Sunny Leone",209
"Arun Bali",210
"Prakash Raj",211
"Farrukh Jaffar",212
"Madhavan",213
