"word","freq","genre"
"movie",18,"Action & Adventure"
"man",11,"Action & Adventure"
"kill",10,"Action & Adventure"
"version",10,"Action & Adventure"
"black",10,"Action & Adventure"
"world",9,"Action & Adventure"
"naruto",8,"Action & Adventure"
"baahubali",7,"Action & Adventure"
"dragon",7,"Action & Adventure"
"last",7,"Action & Adventure"
"vengeance",6,"Action & Adventure"
"beginning",6,"Action & Adventure"
"cop",6,"Action & Adventure"
"jones",6,"Action & Adventure"
"high",6,"Action & Adventure"
"low",6,"Action & Adventure"
"men",5,"Action & Adventure"
"war",5,"Action & Adventure"
"battle",5,"Action & Adventure"
"king",5,"Action & Adventure"
"tiger",5,"Action & Adventure"
"race",5,"Action & Adventure"
"dragonheart",5,"Action & Adventure"
"mission",5,"Action & Adventure"
"sky",5,"Action & Adventure"
"time",5,"Action & Adventure"
"great",5,"Action & Adventure"
"heist",4,"Action & Adventure"
"spy",4,"Action & Adventure"
"bad",4,"Action & Adventure"
"age",4,"Action & Adventure"
"death",4,"Action & Adventure"
"dont",4,"Action & Adventure"
"end",4,"Action & Adventure"
"ghost",4,"Action & Adventure"
"indiana",4,"Action & Adventure"
"wild",4,"Action & Adventure"
"del",4,"Action & Adventure"
"inuyasha",4,"Action & Adventure"
"master",4,"Action & Adventure"
"days",3,"Action & Adventure"
"flying",3,"Action & Adventure"
"life",3,"Action & Adventure"
"warfare",3,"Action & Adventure"
"american",3,"Action & Adventure"
"assassin",3,"Action & Adventure"
"malayalam",3,"Action & Adventure"
"conclusion",3,"Action & Adventure"
"hindi",3,"Action & Adventure"
"boys",3,"Action & Adventure"
"arc",3,"Action & Adventure"
"berserk",3,"Action & Adventure"
"golden",3,"Action & Adventure"
"beyond",3,"Action & Adventure"
"hell",3,"Action & Adventure"
"casino",3,"Action & Adventure"
"sword",3,"Action & Adventure"
"day",3,"Action & Adventure"
"crack",3,"Action & Adventure"
"pressure",3,"Action & Adventure"
"doom",3,"Action & Adventure"
"story",3,"Action & Adventure"
"planet",3,"Action & Adventure"
"fire",3,"Action & Adventure"
"back",3,"Action & Adventure"
"red",3,"Action & Adventure"
"run",3,"Action & Adventure"
"hulk",3,"Action & Adventure"
"hunt",3,"Action & Adventure"
"kingdom",3,"Action & Adventure"
"lost",3,"Action & Adventure"
"castle",3,"Action & Adventure"
"return",3,"Action & Adventure"
"hai",3,"Action & Adventure"
"kung",3,"Action & Adventure"
"legend",3,"Action & Adventure"
"two",3,"Action & Adventure"
"officer",3,"Action & Adventure"
"special",3,"Action & Adventure"
"shippuden",3,"Action & Adventure"
"ninja",3,"Action & Adventure"
"singh",3,"Action & Adventure"
"next",3,"Action & Adventure"
"oceans",3,"Action & Adventure"
"west",3,"Action & Adventure"
"operation",3,"Action & Adventure"
"boy",3,"Action & Adventure"
"point",3,"Action & Adventure"
"star",3,"Action & Adventure"
"wars",3,"Action & Adventure"
"matrix",3,"Action & Adventure"
"blades",2,"Action & Adventure"
"act",2,"Action & Adventure"
"acts",2,"Action & Adventure"
"violence",2,"Action & Adventure"
"baba",2,"Action & Adventure"
"aur",2,"Action & Adventure"
"akbar",2,"Action & Adventure"
"apna",2,"Action & Adventure"
"fallen",2,"Action & Adventure"
"prince",2,"Action & Adventure"
"city",2,"Action & Adventure"
"austin",2,"Action & Adventure"
"powers",2,"Action & Adventure"
"tamil",2,"Action & Adventure"
"iii",2,"Action & Adventure"
"skyline",2,"Action & Adventure"
"sea",2,"Action & Adventure"
"bleach",2,"Action & Adventure"
"blood",2,"Action & Adventure"
"bon",2,"Action & Adventure"
"brothers",2,"Action & Adventure"
"tycoon",2,"Action & Adventure"
"angels",2,"Action & Adventure"
"charlies",2,"Action & Adventure"
"full",2,"Action & Adventure"
"express",2,"Action & Adventure"
"china",2,"Action & Adventure"
"clash",2,"Action & Adventure"
"cloverfield",2,"Action & Adventure"
"code",2,"Action & Adventure"
"cold",2,"Action & Adventure"
"company",2,"Action & Adventure"
"crouching",2,"Action & Adventure"
"hidden",2,"Action & Adventure"
"destiny",2,"Action & Adventure"
"chamber",2,"Action & Adventure"
"don",2,"Action & Adventure"
"gate",2,"Action & Adventure"
"new",2,"Action & Adventure"
"holmes",2,"Action & Adventure"
"enter",2,"Action & Adventure"
"evangelion",2,"Action & Adventure"
"paradise",2,"Action & Adventure"
"first",2,"Action & Adventure"
"order",2,"Action & Adventure"
"five",2,"Action & Adventure"
"guillotine",2,"Action & Adventure"
"forbidden",2,"Action & Adventure"
"free",2,"Action & Adventure"
"state",2,"Action & Adventure"
"love",2,"Action & Adventure"
"game",2,"Action & Adventure"
"rise",2,"Action & Adventure"
"pain",2,"Action & Adventure"
"tears",2,"Action & Adventure"
"godzilla",2,"Action & Adventure"
"hajwala",2,"Action & Adventure"
"halo",2,"Action & Adventure"
"legends",2,"Action & Adventure"
"hard",2,"Action & Adventure"
"heroes",2,"Action & Adventure"
"wanted",2,"Action & Adventure"
"rain",2,"Action & Adventure"
"dark",2,"Action & Adventure"
"retaliation",2,"Action & Adventure"
"iron",2,"Action & Adventure"
"khoon",2,"Action & Adventure"
"kickboxer",2,"Action & Adventure"
"bill",2,"Action & Adventure"
"vol",2,"Action & Adventure"
"kills",2,"Action & Adventure"
"masters",2,"Action & Adventure"
"shaolin",2,"Action & Adventure"
"legacy",2,"Action & Adventure"
"money",2,"Action & Adventure"
"right",2,"Action & Adventure"
"bounty",2,"Action & Adventure"
"true",2,"Action & Adventure"
"shippûden",2,"Action & Adventure"
"prison",2,"Action & Adventure"
"guardians",2,"Action & Adventure"
"moon",2,"Action & Adventure"
"national",2,"Action & Adventure"
"petta",2,"Action & Adventure"
"phantom",2,"Action & Adventure"
"steel",2,"Action & Adventure"
"dawn",2,"Action & Adventure"
"green",2,"Action & Adventure"
"revenge",2,"Action & Adventure"
"road",2,"Action & Adventure"
"rocky",2,"Action & Adventure"
"rogue",2,"Action & Adventure"
"rumble",2,"Action & Adventure"
"book",2,"Action & Adventure"
"raid",2,"Action & Adventure"
"witch",2,"Action & Adventure"
"son",2,"Action & Adventure"
"trade",2,"Action & Adventure"
"solo",2,"Action & Adventure"
"space",2,"Action & Adventure"
"spiderman",2,"Action & Adventure"
"terminator",2,"Action & Adventure"
"art",2,"Action & Adventure"
"kid",2,"Action & Adventure"
"beast",2,"Action & Adventure"
"hunter",2,"Action & Adventure"
"collector",2,"Action & Adventure"
"debt",2,"Action & Adventure"
"dukes",2,"Action & Adventure"
"hazzard",2,"Action & Adventure"
"lord",2,"Action & Adventure"
"rings",2,"Action & Adventure"
"twins",2,"Action & Adventure"
"young",2,"Action & Adventure"
"tremors",2,"Action & Adventure"
"triple",2,"Action & Adventure"
"xxx",2,"Action & Adventure"
"goli",1,"Action & Adventure"
"soda",1,"Action & Adventure"
"flux",1,"Action & Adventure"
"æon",1,"Action & Adventure"
"blocks",1,"Action & Adventure"
"dream",1,"Action & Adventure"
"winters",1,"Action & Adventure"
"hours",1,"Action & Adventure"
"live",1,"Action & Adventure"
"kille",1,"Action & Adventure"
"club",1,"Action & Adventure"
"los",1,"Action & Adventure"
"malditos",1,"Action & Adventure"
"less",1,"Action & Adventure"
"minutes",1,"Action & Adventure"
"cowok",1,"Action & Adventure"
"jagoan",1,"Action & Adventure"
"underground",1,"Action & Adventure"
"bridge",1,"Action & Adventure"
"far",1,"Action & Adventure"
"choo",1,"Action & Adventure"
"jatt",1,"Action & Adventure"
"wednesday",1,"Action & Adventure"
"axl",1,"Action & Adventure"
"aakhri",1,"Action & Adventure"
"adaalat",1,"Action & Adventure"
"abdo",1,"Action & Adventure"
"mota",1,"Action & Adventure"
"valor",1,"Action & Adventure"
"addicted",1,"Action & Adventure"
"adrift",1,"Action & Adventure"
"aftershock",1,"Action & Adventure"
"aiyaary",1,"Action & Adventure"
"ala",1,"Action & Adventure"
"vaikunthapurramuloo",1,"Action & Adventure"
"ali",1,"Action & Adventure"
"cüceler",1,"Action & Adventure"
"alibaba",1,"Action & Adventure"
"chor",1,"Action & Adventure"
"alien",1,"Action & Adventure"
"devils",1,"Action & Adventure"
"altered",1,"Action & Adventure"
"carbon",1,"Action & Adventure"
"resleeved",1,"Action & Adventure"
"amar",1,"Action & Adventure"
"anthony",1,"Action & Adventure"
"andaz",1,"Action & Adventure"
"angamaly",1,"Action & Adventure"
"diaries",1,"Action & Adventure"
"angel",1,"Action & Adventure"
"angu",1,"Action & Adventure"
"vaikuntapurathu",1,"Action & Adventure"
"animal",1,"Action & Adventure"
"anjaan",1,"Action & Adventure"
"antman",1,"Action & Adventure"
"wasp",1,"Action & Adventure"
"antidote",1,"Action & Adventure"
"april",1,"Action & Adventure"
"extraordinary",1,"Action & Adventure"
"arès",1,"Action & Adventure"
"arjun",1,"Action & Adventure"
"warrior",1,"Action & Adventure"
"asoka",1,"Action & Adventure"
"asphalt",1,"Action & Adventure"
"burning",1,"Action & Adventure"
"asura",1,"Action & Adventure"
"madness",1,"Action & Adventure"
"goldmember",1,"Action & Adventure"
"shagged",1,"Action & Adventure"
"ava",1,"Action & Adventure"
"avengement",1,"Action & Adventure"
"avengers",1,"Action & Adventure"
"infinity",1,"Action & Adventure"
"baadshaho",1,"Action & Adventure"
"baaghi",1,"Action & Adventure"
"english",1,"Action & Adventure"
"backdraft",1,"Action & Adventure"
"band",1,"Action & Adventure"
"robbers",1,"Action & Adventure"
"bandie",1,"Action & Adventure"
"bang",1,"Action & Adventure"
"rajan",1,"Action & Adventure"
"barely",1,"Action & Adventure"
"lethal",1,"Action & Adventure"
"barsaat",1,"Action & Adventure"
"batman",1,"Action & Adventure"
"joke",1,"Action & Adventure"
"killing",1,"Action & Adventure"
"drone",1,"Action & Adventure"
"baap",1,"Action & Adventure"
"bbuddah",1,"Action & Adventure"
"hoga",1,"Action & Adventure"
"terra",1,"Action & Adventure"
"beauty",1,"Action & Adventure"
"bestie",1,"Action & Adventure"
"egg",1,"Action & Adventure"
"doldrey",1,"Action & Adventure"
"advent",1,"Action & Adventure"
"bheeshma",1,"Action & Adventure"
"big",1,"Action & Adventure"
"bir",1,"Action & Adventure"
"hindu",1,"Action & Adventure"
"bitcoin",1,"Action & Adventure"
"hawk",1,"Action & Adventure"
"panther",1,"Action & Adventure"
"rose",1,"Action & Adventure"
"delta",1,"Action & Adventure"
"site",1,"Action & Adventure"
"blame",1,"Action & Adventure"
"fade",1,"Action & Adventure"
"verse",1,"Action & Adventure"
"blind",1,"Action & Adventure"
"detective",1,"Action & Adventure"
"blitz",1,"Action & Adventure"
"patrollie",1,"Action & Adventure"
"father",1,"Action & Adventure"
"blue",1,"Action & Adventure"
"streak",1,"Action & Adventure"
"bodyguard",1,"Action & Adventure"
"bonnie",1,"Action & Adventure"
"clyde",1,"Action & Adventure"
"boom",1,"Action & Adventure"
"boss",1,"Action & Adventure"
"boyka",1,"Action & Adventure"
"undisputed",1,"Action & Adventure"
"braven",1,"Action & Adventure"
"bright",1,"Action & Adventure"
"battlefield",1,"Action & Adventure"
"brotherhood",1,"Action & Adventure"
"infernal",1,"Action & Adventure"
"buffalo",1,"Action & Adventure"
"bulletproof",1,"Action & Adventure"
"burn",1,"Action & Adventure"
"bushwick",1,"Action & Adventure"
"buybust",1,"Action & Adventure"
"kkompany",1,"Action & Adventure"
"royale",1,"Action & Adventure"
"cave",1,"Action & Adventure"
"chappie",1,"Action & Adventure"
"throttle",1,"Action & Adventure"
"chasing",1,"Action & Adventure"
"chennai",1,"Action & Adventure"
"salesman",1,"Action & Adventure"
"america",1,"Action & Adventure"
"cia",1,"Action & Adventure"
"comrade",1,"Action & Adventure"
"assistant",1,"Action & Adventure"
"cirque",1,"Action & Adventure"
"freak",1,"Action & Adventure"
"vampires",1,"Action & Adventure"
"titans",1,"Action & Adventure"
"cleopatra",1,"Action & Adventure"
"close",1,"Action & Adventure"
"atlas",1,"Action & Adventure"
"cloud",1,"Action & Adventure"
"cleaner",1,"Action & Adventure"
"name",1,"Action & Adventure"
"coffee",1,"Action & Adventure"
"kareem",1,"Action & Adventure"
"harbour",1,"Action & Adventure"
"contract",1,"Action & Adventure"
"bloods",1,"Action & Adventure"
"chaawl",1,"Action & Adventure"
"daagdi",1,"Action & Adventure"
"daemonium",1,"Action & Adventure"
"dantes",1,"Action & Adventure"
"peak",1,"Action & Adventure"
"darc",1,"Action & Adventure"
"anarchy",1,"Action & Adventure"
"defiance",1,"Action & Adventure"
"belly",1,"Action & Adventure"
"delhi",1,"Action & Adventure"
"den",1,"Action & Adventure"
"thieves",1,"Action & Adventure"
"detention",1,"Action & Adventure"
"letter",1,"Action & Adventure"
"dhamaal",1,"Action & Adventure"
"renjie",1,"Action & Adventure"
"sidatianwang",1,"Action & Adventure"
"zhi",1,"Action & Adventure"
"another",1,"Action & Adventure"
"die",1,"Action & Adventure"
"dilwale",1,"Action & Adventure"
"disciples",1,"Action & Adventure"
"district",1,"Action & Adventure"
"django",1,"Action & Adventure"
"unchained",1,"Action & Adventure"
"annihilation",1,"Action & Adventure"
"double",1,"Action & Adventure"
"cause",1,"Action & Adventure"
"doubles",1,"Action & Adventure"
"troubles",1,"Action & Adventure"
"quest",1,"Action & Adventure"
"sorcerer",1,"Action & Adventure"
"heartfire",1,"Action & Adventure"
"drive",1,"Action & Adventure"
"dum",1,"Action & Adventure"
"duniya",1,"Action & Adventure"
"testigo",1,"Action & Adventure"
"último",1,"Action & Adventure"
"dilemma",1,"Action & Adventure"
"elkhawagas",1,"Action & Adventure"
"elaan",1,"Action & Adventure"
"watch",1,"Action & Adventure"
"enola",1,"Action & Adventure"
"warriors",1,"Action & Adventure"
"equilibrium",1,"Action & Adventure"
"aviv",1,"Action & Adventure"
"escaping",1,"Action & Adventure"
"tel",1,"Action & Adventure"
"true²",1,"Action & Adventure"
"decision",1,"Action & Adventure"
"executive",1,"Action & Adventure"
"exit",1,"Action & Adventure"
"wounds",1,"Action & Adventure"
"expelled",1,"Action & Adventure"
"expo",1,"Action & Adventure"
"extinction",1,"Action & Adventure"
"extraction",1,"Action & Adventure"
"fakta",1,"Action & Adventure"
"ladh",1,"Action & Adventure"
"mhana",1,"Action & Adventure"
"faraar",1,"Action & Adventure"
"fategrand",1,"Action & Adventure"
"elements",1,"Action & Adventure"
"ninjas",1,"Action & Adventure"
"force",1,"Action & Adventure"
"friendship",1,"Action & Adventure"
"paris",1,"Action & Adventure"
"fukrey",1,"Action & Adventure"
"alchemist",1,"Action & Adventure"
"fullmetal",1,"Action & Adventure"
"furie",1,"Action & Adventure"
"gora",1,"Action & Adventure"
"gabbar",1,"Action & Adventure"
"gantzo",1,"Action & Adventure"
"gatao",1,"Action & Adventure"
"get",1,"Action & Adventure"
"smart",1,"Action & Adventure"
"ghayal",1,"Action & Adventure"
"rider",1,"Action & Adventure"
"whispers",1,"Action & Adventure"
"ghulamemusthafa",1,"Action & Adventure"
"der",1,"Action & Adventure"
"film",1,"Action & Adventure"
"girls",1,"Action & Adventure"
"panzer",1,"Action & Adventure"
"und",1,"Action & Adventure"
"god",1,"Action & Adventure"
"edge",1,"Action & Adventure"
"eater",1,"Action & Adventure"
"goldeneye",1,"Action & Adventure"
"gollu",1,"Action & Adventure"
"pappu",1,"Action & Adventure"
"good",1,"Action & Adventure"
"people",1,"Action & Adventure"
"gridlocked",1,"Action & Adventure"
"gumrah",1,"Action & Adventure"
"guna",1,"Action & Adventure"
"girl",1,"Action & Adventure"
"gunjan",1,"Action & Adventure"
"kargil",1,"Action & Adventure"
"saxena",1,"Action & Adventure"
"mysterious",1,"Action & Adventure"
"engine",1,"Action & Adventure"
"missing",1,"Action & Adventure"
"fall",1,"Action & Adventure"
"reach",1,"Action & Adventure"
"hamburger",1,"Action & Adventure"
"hill",1,"Action & Adventure"
"happy",1,"Action & Adventure"
"year",1,"Action & Adventure"
"hardcore",1,"Action & Adventure"
"henry",1,"Action & Adventure"
"haseena",1,"Action & Adventure"
"jaayegi",1,"Action & Adventure"
"maan",1,"Action & Adventure"
"haywire",1,"Action & Adventure"
"headshot",1,"Action & Adventure"
"helios",1,"Action & Adventure"
"hellboy",1,"Action & Adventure"
"brother",1,"Action & Adventure"
"hello",1,"Action & Adventure"
"hera",1,"Action & Adventure"
"pheri",1,"Action & Adventure"
"hero",1,"Action & Adventure"
"hickok",1,"Action & Adventure"
"final",1,"Action & Adventure"
"worst",1,"Action & Adventure"
"highway",1,"Action & Adventure"
"himmatwala",1,"Action & Adventure"
"hit",1,"Action & Adventure"
"hold",1,"Action & Adventure"
"ends",1,"Action & Adventure"
"wilderpeople",1,"Action & Adventure"
"hunters",1,"Action & Adventure"
"prayer",1,"Action & Adventure"
"wrath",1,"Action & Adventure"
"iceman",1,"Action & Adventure"
"brigade",1,"Action & Adventure"
"illang",1,"Action & Adventure"
"wolf",1,"Action & Adventure"
"imperfect",1,"Action & Adventure"
"valley",1,"Action & Adventure"
